SITIODESEMBARCO_ESPECIE_CAT;Cuartil_inf_Precio_Esp_Cat;Cuartil_sup_Precio_Esp_Cat
Miramar - Bahía Málaga_Lobotes pacifica_Grande;9000;9000
Miramar - Bahía Málaga_Bagre pinnimaculatus_Grande;7000;7000
Villa Fátima_Lutjanus synagris_Pequeño;9777;10000
Villa Fátima_Balistes capriscus_Pequeño;2979;2979
Santropel - San Sebastián_Prochilodus magdalenae_Revuelto;3321;5017
Puente Chambacú - Río Jella_Lutjanus colorado_Mediano;16000;16000
Locadía_Caranx hippos_Grande;11902;11995
Milagros de la Mar_Cynoponticus coniceps_Revuelto;7000;7000
Milagros de la Mar_Sciades dowii_Grande;9000;9000
Candelaria (Chimichagua)_Hoplias malabaricus_Revuelto;1600;1600
Río San Miguel_Zungaro zungaro_Pequeño;14773;14773
Miramar - Bahía Málaga_Lutjanus aratus_Grande;16000;16000
La T_Centropomus undecimalis_Grande;15000;15000
La T_Centropomus undecimalis_Mediano;12857;12857
Río San Miguel_Plagioscion squamosissimus_Revuelto;13492;13492
Zapata_Nebris microps_Revuelto;22000;22000
La T_Hyporthodus nigritus_Revuelto;9000;9000
La T_Scomberomorus cavalla_Mediano;22000;22000
La T_Centropomus undecimalis_Revuelto;13000;13000
La T_Bagre filamentosus_Revuelto;5000;5000
Miramar - Bahía Málaga_Kyphosus elegans_Varios tamaños;6000;6000
Miramar - Bahía Málaga_Ablennes hians_Varios tamaños;6000;6000
Taganga_Caranx hippos_Pequeño;5935;5992
Puerto de desembarco (Barrancominas)_Sorubimichthys planiceps_Revuelto;6000;6000
Puerto de desembarco (Barrancominas)_Brachyplatystoma vaillantii_Revuelto;6000;6000
Puerto de desembarco (Barrancominas)_Zungaro zungaro_Revuelto;6000;6000
La Playa (El Banco)_Megalops atlanticus_Grande;10000;10000
Puerto Ciénaga de Paredes_Brycon moorei_Revuelto;10000;10000
Jurubirá_Caranx vinctus_Pequeño;8000;8000
El Muelle (Barrancabermeja)_Prochilodus magdalenae_Grande;12005;12005
Puente Chambacú - Río Jella_Sphyraena ensis_Varios tamaños;8200;10000
Berrugas_Caranx ruber_Grande;11964;12981
Puente Chambacú - Río Jella_Tylosurus fodiator_Varios tamaños;10000;10000
Berrugas_Seriola dumerili_Mediano;13987;13987
Berrugas_Centropomus undecimalis_Revuelto;19923;19923
Buchadó_Pimelodus punctatus_Revuelto;2000;2000
La Boquilla_Trachinotus falcatus_Pequeño;9259;9259
Berrugas_Sepioteuthis sepioidea_Grande;24763;24951
Berrugas_Sphyraena barracuda_Revuelto;11947;11947
Berrugas_Sphyraena guachancho_Pequeño;5401;9604
Berrugas_Lutjanus buccanella_Grande;19806;19872
Barrio Santa Lucía_Nebris microps_Mediano;13768;14345
Lamas_Oreochromis niloticus_Grande;4357;8005
La Casa del Pescador_Cynoscion squamipinnis_Pequeño;10000;10000
Puerto Miraflores_Centropomus viridis_Grande;16000;16000
Paujil_Cichla orinocensis_Revuelto;5333;5871
Puerto Barrio El Progreso_Brycon moorei_Revuelto;11895;11957
Bahía de Santa Marta_Lutjanus apodus_Mediano;23529;23529
Bahía de Santa Marta_Alectis ciliaris_Revuelto;10593;10593
Bahía de Santa Marta_Caranx ruber_Pequeño;8547;8547
San Nicolás (Santa Cruz De Mompox)_Plagioscion magdalenae_Mediano;6000;6000
El Muelle (Puerto López)_Rhaphiodon vulpinus_Revuelto;3026;3026
El Muelle (Puerto López)_Cichla orinocensis_Revuelto;7091;7091
Isla Fuerte_Lutjanus analis_Revuelto;14857;14857
Jurubirá_Seriola peruana_Mediano;12000;12000
Distribuidoras de Tumaco_Macrodon mordax_Grande;15000;15000
Santuario_Prochilodus rubrotaeniatus_Revuelto;16000;16000
Damaquiel_Nebris microps_Mediano;20000;20000
Rincón del Mar_Seriola dumerili_Mediano;16744;16744
Usaragá_Diapterus brevirostris_Revuelto;7000;7000
Usaragá_Lutjanus novemfasciatus_Grande;12000;12000
Taganga_Thunnus alalunga_Mediano;15994;16000
Puerto Chucha_Mugil liza_Grande;12979;12979
Taganga_Euthynnus alletteratus_Grande;9695;9735
Rincón del Mar_Mycteroperca rubra_Varios tamaños;19473;19473
San José de la Calle_Pseudopimelodus sp. 1_Mediano;11833;11990
Puerto Chucha_Caranx hippos_Grande;9914;10708
Isla Fuerte_Rachycentron canadum_Mediano;14286;14286
Taganga_Opisthonema oglinum_Pequeño;1873;2372
Bazurto_Chloroscombrus chrysurus_Mediano;6872;7979
Barrio La Unión_Sciades proops_Pequeño;1982;2000
Barrio La Unión_Conodon nobilis_Pequeño;3974;4996
Bazurto_Mugil incilis_Pequeño;6010;6010
Playa Pescadores - Capurganá_Etelis oculatus_Revuelto;26000;26000
Champaché_Mugil liza_Mediano;4941;4941
Santa Cruz - Naya_Sciades dowii_Mediano;10000;10000
Playa Pescadores - Capurganá_Euthynnus alletteratus_Mediano;10000;10000
Playa Pescadores - Capurganá_Sphyraena barracuda_Mediano;14000;14000
Carrizal_Sparisoma chrysopterum_Revuelto;3000;3000
Bazurto_Sciades proops_Grande;8927;9897
Santropel - San Sebastián_Prochilodus magdalenae_Mediano;2932;5817
Bazurto_Megalops atlanticus_Mediano;8050;8950
Bazurto_Megalops atlanticus_Pequeño;5000;5000
Bahía de Cispatá_Penaeus schmitti_Revuelto;15059;15059
Bahía de Cispatá_Megalops atlanticus_Grande;12081;12081
Virudó_Mugil cephalus_Revuelto;12000;12000
Virudó_Cynoscion albus_Revuelto;12000;12000
Virudó_Centropomus armatus_Grande;12000;12000
Palomino_Oreochromis niloticus_Pequeño;3000;3000
Jodedor_Menticirrhus littoralis_Pequeño;3995;3995
Corozal_Cynoscion albus_Varios tamaños;18000;18000
Jodedor_Seriola dumerili_Mediano;11990;11990
Puerto Arriba (Dibulla)_Panulirus argus_Pequeño;18210;18722
Puerto Arriba (Dibulla)_Caranx hippos_Mediano;6459;7007
Santa Clara_Oreochromis niloticus_Pequeño;4000;4000
Corozal_Cynoscion phoxocephalus_Varios tamaños;16100;17900
Corozal_Bagre panamensis_Varios tamaños;3000;3000
Docordó_Scomberomorus sierra_Mediano;10000;10000
Guacamayo_Pseudoplatystoma magdaleniatum_Grande;4979;5011
Puerto Arriba (Dibulla)_Notarius grandicassis_Mediano;3958;4480
Clarinetero_Pimelodus blochii_Varios tamaños;2500;2500
Clarinetero_Hoplias malabaricus_Varios tamaños;2000;2000
Lomita Arena_Chloroscombrus chrysurus_Revuelto;4093;4093
Corozal_Larimus argenteus_Varios tamaños;6000;6000
Nueva Colonia_Mugil liza_Revuelto;14000;14000
Plaza de mercado (La Dorada)_Piaractus brachypomus_Revuelto;10121;10121
San Miguel (Puerto Gaitán)_Piaractus orinoquensis_Revuelto;12000;12000
San Miguel (Puerto Gaitán)_Sorubim lima_Revuelto;6000;6000
San Miguel (Puerto Gaitán)_Pimelodina flavipinnis_Revuelto;6000;6000
San Miguel (Puerto Gaitán)_Mylossoma albiscopum_Revuelto;6000;6000
Puerto Amor_Colossoma macropomum_Pequeño;6000;6000
Nueva Colonia_Elops smithi_Revuelto;12195;12195
Isla Fuerte_Lutjanus vivanus_Revuelto;23646;24856
El Pájaro_Archosargus rhomboidalis_Revuelto;2791;2791
Puerto Ciénaga de Paredes_Caquetaia kraussii_Revuelto;5987;5999
El Ferry_Megaleporinus muyscorum_Grande;4993;5011
Berrugas_Euthynnus alletteratus_Pequeño;9921;9921
Berrugas_Caranx crysos_Mediano;11901;12527
El Pájaro_Caranx hippos_Mediano;3902;3902
Playa de Arusí_Seriola peruana_Revuelto;14000;14000
Puerto Rico [Meta]_Brycon amazonicus_Revuelto;12000;12000
Berrugas_Lutjanus buccanella_Mediano;14524;18810
San Antonio de Padua_Pseudopimelodus sp. 1_Grande;7992;7992
Loma - San Sebastián_Trachelyopterus insignis_Revuelto;3032;4106
Cangrejito_Lachnolaimus maximus_Mediano;8000;8000
Las Delicias_Scarus coeruleus_Pequeño;4000;4000
Mayapo_Lutjanus cyanopterus_Revuelto;10000;10000
Cangrejito_Sphyraena guachancho_Mediano;4680;4980
Las Delicias_Haemulon melanurum_Pequeño;3000;3000
Cecilia_Plagioscion magdalenae_Grande;5987;6063
Las Delicias_Haemulon bonariense_Pequeño;3000;3000
Las Delicias_Sparisoma chrysopterum_Revuelto;3000;3000
Las Delicias_Rachycentron canadum_Pequeño;8000;8000
Las Delicias_Seriola rivoliana_Revuelto;8000;8000
Puerto Arriba (Dibulla)_Scomberomorus cavalla_Mediano;10909;10909
Las Delicias_Panulirus argus_Grande;30000;30000
Sempegua_Sorubim cuspicaudus_Pequeño;3738;3738
Codis_Scomberomorus regalis_Grande;19231;19231
Mayapo_Caranx hippos_Grande;5000;5000
Mayapo_Octopus vulgaris_Grande;20000;20000
Bahía de Santa Marta_Seriola dumerili_Pequeño;11111;11111
Puerto Miraflores_Seriola peruana_Revuelto;2030;13370
Puerto Miraflores_Hemanthias signifer_Grande;14000;14000
Puerto Miraflores_Seriola rivoliana_Grande;16000;16000
La Pedrera_Phractocephalus hemioliopterus_Grande;4883;4974
Popoya Playa_Lachnolaimus maximus_Mediano;5714;5714
Popoya Playa_Sparisoma viride_Mediano;4187;4375
La T_Selene vomer_Mediano;5000;5000
Dotenedó_Haemulopsis leuciscus_Revuelto;6000;6000
Dotenedó_Anadara tuberculosa_Revuelto;14000;14000
La Punta - Firme Cifuentes_Diapterus brevirostris_Revuelto;5000;5000
La Punta - Firme Cifuentes_Lutjanus argentiventris_Platero (para pargos);14000;14000
La Punta - Firme Cifuentes_Selene peruviana_Revuelto;5000;5000
Isla Fuerte_Rhomboplites aurorubens_Pequeño;8000;9700
Orejero_Prochilodus magdalenae_Grande;10000;10069
Locadía_Centropomus undecimalis_Revuelto;17869;17869
Santa Clara_Oreochromis niloticus_Grande;6000;6000
Lomita Arena_Caranx hippos_Revuelto;7824;9403
La Gloria_Brycon moorei_Revuelto;8800;8800
Docordó_Lutjanus guttatus_Pequeño;14000;14000
Docordó_Bagre panamensis_Mediano;5000;5000
Santropel - San Sebastián_Prochilodus magdalenae_Grande;4698;7299
El Malecón (Neiva)_Piaractus brachypomus_Revuelto;5011;5939
Codis_Lutjanus synagris_Pequeño;10000;10000
Orpua_Centropomus viridis_Mediano;16000;16000
Nueva Colonia_Cyphocharax magdalenae_Pequeño;3000;3000
Nueva Colonia_Caquetaia kraussii_Pequeño;4000;4000
Nueva Colonia_Prochilodus magdalenae_Mediano;8000;8000
Nueva Colonia_Piaractus brachypomus_Mediano;12000;12000
Barrio La Unión_Caranx hippos_Revuelto;7850;7980
Barrio La Unión_Sphyraena guachancho_Revuelto;8988;15749
Orpua_Lutjanus guttatus_Mediano;16000;16000
Sapzurro_Lutjanus purpureus_Mediano;30000;30000
Sapzurro_Caranx crysos_Pequeño;18000;18000
Sapzurro_Thunnus albacares_Pequeño;18000;18000
Sapzurro_Elagatis bipinnulata_Mediano;20000;20000
Berrugas_Sciades proops_Revuelto;3990;3990
Berrugas_Centropomus undecimalis_Pequeño;9605;11874
La Tagua_Platynematichthys notatus_Pequeño;10000;10000
La Tagua_Leporinus fasciatus_Pequeño;10000;10000
Puerto Boquillas_Prochilodus magdalenae_Pequeño;2989;5000
Puerto Boquillas_Plagioscion magdalenae_Revuelto;3980;3989
La Tagua_Pseudoplatystoma punctifer_Grande;14540;14976
La Tagua_Hydrolycus armatus_Pequeño;10000;10000
El Pedral_Brycon moorei_Revuelto;8368;9001
El Pedral_Pseudoplatystoma magdaleniatum_Revuelto;9449;9449
Palenquito_Hoplias malabaricus_Pequeño;1405;1405
Puerto Montecristo_Ageneiosus pardalis_Grande;11008;11008
Chamuscado - Naya_Cynoscion albus_Grande;17000;17000
Tribugá_Balistes polylepis_Mediano;14000;14000
Puerto (Orocué)_Plagioscion squamosissimus_Revuelto;10000;10000
Puerto (Orocué)_Brachyplatystoma vaillantii_Revuelto;10000;10000
Puerto (Orocué)_Pinirampus pirinampu_Revuelto;10000;10000
Playa Necoclí_Chloroscombrus chrysurus_Pequeño;1250;1398
Sivirú_Mugil curema_Pequeño;10000;10000
Sivirú_Centropomus medius_Revuelto;14000;14000
Sivirú_Menticirrhus panamensis_Mediano;14000;14000
Pizarro_Larimus acclivis_Revuelto;8000;8900
Pizarro_Menticirrhus panamensis_Revuelto;8000;8850
Pizarro_Parapsettus panamensis_Pequeño;4000;4000
Sivirú_Lutjanus argentiventris_Revuelto;14000;14000
Sivirú_Centropomus medius_Mediano;14000;14000
Poportín_Lutjanus synagris_Mediano;12000;12000
Poportín_Archosargus rhomboidalis_Revuelto;5000;11300
Nueva Ola_Caquetaia kraussii_Revuelto;2240;2490
Poportín_Lachnolaimus maximus_Mediano;12000;12000
Cupica_Sphyraena ensis_Revuelto;16000;16000
Poportín_Calamus calamus_Mediano;12000;12000
Poportín_Caranx crysos_Mediano;12000;12000
Poportín_Seriola dumerili_Grande;12000;12000
Playa Necoclí_Lutjanus synagris_Revuelto;24800;24800
Nueva Ola_Ageneiosus pardalis_Grande;5986;6067
Cupica_Seriola peruana_Revuelto;16000;16000
Cupica_Seriola rivoliana_Mediano;16000;16000
Cabo de la Vela_Lutjanus synagris_Mediano;11696;11696
Cabo de la Vela_Seriola dumerili_Revuelto;9758;9987
La Raya_Plagioscion magdalenae_Grande;8058;8058
Cabo de la Vela_Archosargus rhomboidalis_Mediano;5455;5455
Cupica_Caranx caninus_Mediano;16000;16000
Cabo de la Vela_Lutjanus synagris_Revuelto;11400;12000
Cabo de la Vela_Lachnolaimus maximus_Pequeño;11692;12149
Mercado (Lorica)_Cyphocharax magdalenae_Mediano;3750;3750
Cupica_Calamus brachysomus_Pequeño;16000;16000
Cupica_Scomberomorus sierra_Pequeño;16000;16000
La Raya_Brycon moorei_Grande;9020;9024
Puerto Arriba (Dibulla)_Lobotes surinamensis_Pequeño;4382;4500
Punta Ardita_Seriola rivoliana_Grande;16000;16000
Puerto Arriba (Dibulla)_Notarius grandicassis_Grande;3889;3889
Puerto Boca_Sorubim cuspicaudus_Pequeño;9091;9091
Puerto Boca_Cynopotamus magdalenae_Revuelto;3982;3982
Guazo_Ageneiosus pardalis_Grande;10000;10000
Guazo_Megaleporinus muyscorum_Pequeño;1796;3609
Barrio Arriba - Barbosa (Magangué)_Pseudoplatystoma magdaleniatum_Pequeño;3704;3704
Puerto Franco_Ageneiosus pardalis_Pequeño;2023;2023
Distribuidoras de Tumaco_Cynoscion phoxocephalus_Pequeño;10000;10000
Méjico_Ageneiosus pardalis_Pequeño;2000;2000
El Muelle (Puerto López)_Ageneiosus inermis_Revuelto;7000;7000
El Muelle (Puerto López)_Megaleporinus sp. 1_Revuelto;7000;7000
Puerto Bello_Hoplias malabaricus_Grande;2000;2000
Nueva Colonia_Mugil liza_Grande;14000;14000
Bahía de Cispatá_Callinectes bocourti_Revuelto;23418;25800
Bahía de Cispatá_Callinectes sapidus_Revuelto;24160;25975
Puerto Boca_Sorubim cuspicaudus_Mediano;8760;9315
Puerto Boca_Plagioscion magdalenae_Grande;9404;9404
San Nicolás (Santa Cruz De Mompox)_Plagioscion magdalenae_Grande;6444;6444
Bahía de Cispatá_Menticirrhus americanus_Pequeño;6000;6000
Puerto Arriba (Dibulla)_Cynoscion acoupa_Pequeño;4406;5000
Laguna Colorada_Pterodoras rivasi_Mediano;5000;5000
Laguna Colorada_Zungaro zungaro_Pequeño;5000;5000
Bahía de Cispatá_Cynoscion virescens_Grande;12000;12000
Puerto Arriba (Dibulla)_Chloroscombrus chrysurus_Pequeño;961;1000
Bahía de Cispatá_Archosargus rhomboidalis_Pequeño;5959;8000
Bahía de Cispatá_Scomberomorus cavalla_Pequeño;12000;12000
Bahía de Cispatá_Sphyraena guachancho_Grande;9398;9398
Bahía de Cispatá_Lutjanus purpureus_Pequeño;20000;20000
La Mata_Pimelodus yuma_Mediano;6199;6199
Guineal_Caranx sexfasciatus_Varios tamaños;6000;6000
Cabo Marzo_Caranx caballus_Mediano;10000;10000
Cabo Marzo_Haemulon flaviguttatum_Mediano;10000;10000
Guacamayo_Sorubim cuspicaudus_Grande;4000;4011
Guacamayo_Pseudoplatystoma magdaleniatum_Mediano;2993;3015
Cabo Marzo_Lutjanus novemfasciatus_Mediano;15000;15900
Guineal_Lutjanus jordani_Grande;10000;10000
Marralú_Curimata mivartii_Revuelto;1600;1600
El Pájaro_Bagre filamentosus_Revuelto;2907;2946
El Pájaro_Caranx hippos_Revuelto;4000;4000
Playa Nueva_Sciades dowii_Grande;6000;6000
Playa Nueva_Bagre pinnimaculatus_Grande;7000;7000
Playa Nueva_Cynoscion phoxocephalus_Grande;12000;12000
Popoya Playa_Caranx hippos_Grande;6911;11318
Popoya Playa_Cynoscion leiarchus_Mediano;7009;7948
Muelle Principal (Puerto Leguízamo)_Zungaro zungaro_Revuelto;15050;15950
Bahía de Santa Marta_Tylosurus acus_Revuelto;6274;6274
Muelle Principal (Puerto Leguízamo)_Serrasalmus rhombeus_Revuelto;8000;8000
Bahía de Santa Marta_Acanthocybium solandri_Grande;30476;30476
Playa de Arusí_Seriola peruana_Grande;14000;14000
Playa de Arusí_Mycteroperca xenarcha_Mediano;14000;14000
Playa de Arusí_Caranx sexfasciatus_Revuelto;14000;14000
Muelle Principal (Puerto Leguízamo)_Pseudoplatystoma tigrinum_Revuelto;15000;15000
Muelle Principal (Puerto Leguízamo)_Calophysus macropterus_Revuelto;6071;6071
Muelle Principal (Puerto Leguízamo)_Colossoma macropomum_Revuelto;17000;17000
Muelle Principal (Puerto Leguízamo)_Brachyplatystoma rousseauxii_Revuelto;17987;17987
Las Delicias_Rhomboplites aurorubens_Revuelto;5000;5000
Las Delicias_Balistes capriscus_Revuelto;2525;2975
Las Delicias_Panulirus argus_Mediano;18000;20311
Las Delicias_Haemulon plumieri_Pequeño;5050;5950
Puerto de las Canoas (Puerto Berrío)_Salminus affinis_Revuelto;8000;8000
Puerto de las Canoas (Puerto Berrío)_Panaque cochliodon_Revuelto;6000;6000
Puerto de las Canoas (Puerto Berrío)_Sternopygus aequilabiatus_Revuelto;1079;1283
Armenia_Cyphocharax magdalenae_Revuelto;2000;2000
Armenia_Triportheus magdalenae_Revuelto;2000;2000
Armenia_Caquetaia kraussii_Revuelto;2000;2000
Puerto Principal (Leticia)_Hoplosternum littorale_Mediano;7692;7692
Puerto Principal (Leticia)_Mylossoma albiscopum_Pequeño;8696;8696
Puerto Principal (Leticia)_Schizodon fasciatus_Pequeño;7692;7692
Puerto Principal (Leticia)_Hydrolycus scomberoides_Grande;10606;10606
Puerto Principal (Leticia)_Mylossoma albiscopum_Grande;14737;14737
Las Delicias_Panulirus laevicauda_Mediano;20000;20000
Primera Ensenada_Cynoscion leiarchus_Grande;13580;13580
Pueblo Lindo o Caimanera_Andinoacara latifrons_Revuelto;1091;1091
Primera Ensenada_Euthynnus alletteratus_Mediano;13587;13587
Betania - Naya_Scomberomorus sierra_Grande;13000;13000
Betania - Naya_Scomberomorus sierra_Mediano;10000;10000
Isla Fuerte_Euthynnus alletteratus_Mediano;10000;10000
Pueblo Lindo o Caimanera_Pseudoplatystoma magdaleniatum_Grande;10000;10000
Codis_Mugil curema_Mediano;9798;10000
Codis_Elops smithi_Pequeño;6803;6854
Pomeño_Macrodon mordax_Revuelto;14000;14000
Pomeño_Centropomus medius_Grande;16000;16000
Pomeño_Nebris occidentalis_Revuelto;14000;14000
Pomeño_Menticirrhus panamensis_Revuelto;14000;14000
Casino_Elagatis bipinnulata_Grande;16000;16001
Casino_Lutjanus jocu_Grande;27155;29877
Casino_Lutjanus purpureus_Grande;24039;24949
Guazo_Oreochromis niloticus_Revuelto;7000;7000
Casino_Caranx crysos_Mediano;16102;17844
La Boquilla_Cynoscion jamaicensis_Pequeño;6977;6977
Policía fluvial (Quibdó)_Pseudopimelodus sp. 1_Grande;7993;7995
Casco urbano (Puerto Escondido)_Penaeus schmitti_Revuelto;35000;35000
Policía fluvial (Quibdó)_Brycon moorei_Grande;8197;10000
Barrio Abajo (Ciénaga)_Micropogonias furnieri_Revuelto;7812;7988
Policía fluvial (Quibdó)_Astyanax fasciatus_Revuelto;3000;3006
Policía fluvial (Quibdó)_Leporinus striatus_Revuelto;3961;3961
Policía fluvial (Quibdó)_Ageneiosus pardalis_Mediano;12994;12994
Policía fluvial (Quibdó)_Brycon moorei_Pequeño;10000;10000
Desembarcadero (Juradó)_Seriola rivoliana_Pequeño;20000;20000
Desembarcadero (Juradó)_Scomberomorus sierra_Pequeño;18000;18000
Desembarcadero (Juradó)_Lutjanus guttatus_Pequeño;20000;20000
Desembarcadero (Juradó)_Centropomus armatus_Pequeño;18000;18000
Desembarcadero (Juradó)_Ariopsis seemanni_Mediano;18000;18000
Marriaga_Centropomus undecimalis_Grande;12512;12512
Santa Rosa_Lutjanus analis_Mediano;17674;18155
Puerto Arriba (Dibulla)_Centropomus undecimalis_Mediano;10000;10000
Puente Chambacú - Río Jella_Caranx sexfasciatus_Mediano;16333;16333
Puente Chambacú - Río Jella_Lutjanus peru_Mediano;20000;20000
Puente Chambacú - Río Jella_Brotula clarkae_Mediano;18000;18000
Punta Bonita_Larimus argenteus_Revuelto;7000;7000
Punta Bonita_Ariopsis seemanni_Revuelto;3500;3500
Punta Bonita_Bairdiella ensifera_Revuelto;7000;7000
Punta Bonita_Centropomus armatus_Revuelto;8050;8950
Punta Bonita_Xiphopenaeus riveti_Revuelto;13000;13000
Punta Bonita_Bagre panamensis_Revuelto;4000;4000
Punta Bonita_Penaeus occidentalis_Revuelto;38000;41600
Isla Fuerte_Thunnus alalunga_Mediano;10000;10000
Punta Bonita_Scomberomorus sierra_Pequeño;9000;9000
Punta Bonita_Polydactylus approximans_Revuelto;7000;7000
Punta Bonita_Cynoscion phoxocephalus_Pequeño;12000;12000
Punta Bonita_Lutjanus peru_Revuelto;11000;11000
Betania (Montecristo)_Plagioscion magdalenae_Pequeño;2990;3005
Cangrejito_Sciades proops_Grande;4650;6000
Aparca_Salminus hilarii_Revuelto;16000;16000
San Nicolás (Nechí)_Oreochromis niloticus_Grande;7976;7976
Manaure Centro_Scarus coeruleus_Revuelto;2000;2400
Domingodó_Megaleporinus muyscorum_Revuelto;6026;6496
Costilla_Colossoma macropomum_Revuelto;6961;6961
Cangrejito_Notarius grandicassis_Mediano;4500;4500
Puerto Panseguita_Plagioscion magdalenae_Mediano;3000;3000
Bahía de Santa Marta_Scomberomorus cavalla_Grande;32000;32000
Manaure Centro_Lutjanus analis_Mediano;9250;13750
Bahía de Santa Marta_Lutjanus vivanus_Mediano;23529;23529
Galería (Guapi)_Centropomus armatus_Revuelto;15000;15000
Ica-Copipa_Rachycentron canadum_Pequeño;16000;16000
Manaure Centro_Priacanthus arenatus_Revuelto;3000;3000
Arroyito_Bagre filamentosus_Pequeño;4951;4978
Arroyito_Centropomus undecimalis_Pequeño;11828;11996
Bahía de Santa Marta_Coryphaena hippurus_Mediano;14000;14000
Bahía de Santa Marta_Lutjanus purpureus_Grande;22857;22857
Arroyito_Scomberomorus brasiliensis_Pequeño;13500;13500
Bocanegra_Centropomus undecimalis_Revuelto;19737;19737
Bocanegra_Penaeus monodon_Grande;24000;24000
Tribugá_Brycon meeki_Mediano;14000;14000
Tribugá_Mugil curema_Mediano;14000;14000
El Porvenir_Euthynnus alletteratus_Mediano;16051;16051
Tribugá_Hemiramphus saltator_Pequeño;14000;14000
Tribugá_Sphyraena ensis_Revuelto;14000;14000
Tribugá_Polydactylus opercularis_Mediano;14000;14000
Tribugá_Notarius troschelii_Pequeño;14000;14000
Arrimadero La Unión_Seriola peruana_Grande;14000;14000
Palanca_Cynopotamus magdalenae_Revuelto;1614;1635
Arrimadero La Unión_Lutjanus peru_Grande;16000;16000
Arrimadero La Unión_Thunnus albacares_Mediano;14000;14000
Arrimadero La Unión_Tylosurus fodiator_Revuelto;14000;14000
El Puerto (Puerto Carreño)_Pinirampus pirinampu_Varios tamaños;6000;6000
Arrimadero La Unión_Umbrina xanti_Revuelto;14000;14000
Arrimadero La Unión_Centropomus medius_Revuelto;16000;16000
Arrimadero La Unión_Brotula clarkae_Mediano;14000;14000
Ciénaga de Mesolandia_Andinoacara latifrons_Pequeño;1786;1786
Arrimadero La Unión_Selene brevoortii_Revuelto;14000;14000
Arrimadero La Unión_Caulolatilus affinis_Revuelto;12000;12000
Arrimadero La Unión_Hyporthodus niphobles_Pequeño;12000;12000
Agropez_Chloroscombrus chrysurus_Pequeño;4889;4889
Agropez_Bagre filamentosus_Pequeño;4000;4000
Agropez_Priacanthus arenatus_Revuelto;5000;5000
Ciénaga de Mesolandia_Caquetaia kraussii_Mediano;2666;3283
Agropez_Megalops atlanticus_Grande;14889;14889
Muelles del Camarón_Sphoeroides spp._Grande;9000;9000
Muelles del Camarón_Otros pescadilla_Revuelto;7000;7000
Miel de Abeja_Centropomus medius_Grande;12000;12000
Miel de Abeja_Lutjanus argentiventris_Grande;12000;12000
Miel de Abeja_Lutjanus colorado_Grande;12000;12000
Miel de Abeja_Notarius troschelii_Grande;4000;4000
Muelles del Camarón_Scomberomorus sierra_Pequeño;1525;1975
Muelles del Camarón_Scomberomorus sierra_Mediano;9000;9000
Muelles del Camarón_Otros pescadilla_Pescado menudo;3000;3000
Bocanegra_Nebris microps_Revuelto;12500;12500
Punta de blanco_Hoplias malabaricus_Revuelto;1169;1346
Jodedor_Haemulopsis corvinaeformis_Pequeño;3986;4000
Jodedor_Umbrina coroides_Pequeño;3948;3997
Jodedor_Cathorops wayuu_Mediano;1114;1298
Muelles del Camarón_Cynoscion phoxocephalus_Grande;16000;16000
Muelles del Camarón_Cynoscion squamipinnis_Grande;15000;15000
Puerto de desembarco (Mitú)_Brachyplatystoma tigrinum_Mediano;20000;20000
Jodedor_Sciades proops_Grande;5974;5974
Vigía_Lobotes pacifica_Grande;12000;12000
Barrio La Unión_Scomberomorus brasiliensis_Pequeño;5846;11409
Barrio La Unión_Isopisthus parvipinnis_Revuelto;2965;4407
Bocanegra_Chaetodipterus faber_Mediano;10000;10000
Bocanegra_Oreochromis niloticus_Grande;6667;6667
Barrio La Unión_Elops smithi_Mediano;7500;7500
Ciénaga de Mesolandia_Sorubim cuspicaudus_Mediano;7143;7143
Curvaradó_Geophagus pellegrini_Pequeño;5000;5000
Loma - San Sebastián_Oreochromis niloticus_Pequeño;6173;6173
Camarones_Scomberomorus cavalla_Grande;19937;19937
Mantequera_Pseudoplatystoma magdaleniatum_Revuelto;3896;3896
Camarones_Lutjanus cyanopterus_Grande;13199;14996
Camarones_Selar crumenophthalmus_Revuelto;6016;6943
Camarones_Scomberomorus cavalla_Revuelto;18317;19911
Caño Grande_Centropomus undecimalis_Revuelto;16182;17975
Chapinero_Brycon sinuensis_Mediano;6327;14022
Bocanegra_Megalops atlanticus_Pequeño;4883;9693
Puerto Los Córdobas_Menticirrhus americanus_Grande;18229;18229
Chapinero_Sorubim cuspicaudus_Pequeño;7692;7692
Buchadó_Ageneiosus pardalis_Grande;5996;5996
Vigía de Curvaradó_Prochilodus magdalenae_Grande;2355;2355
Vigía de Curvaradó_Megaleporinus muyscorum_Mediano;3150;3150
El Roto_Caquetaia kraussii_Varios tamaños;3926;3926
El Roto_Hoplias malabaricus_Varios tamaños;4800;4800
El Roto_Ageneiosus pardalis_Mediano;9778;9778
El Roto_Centropomus ensiferus_Mediano;18433;18433
El Roto_Caranx hippos_Grande;9916;9984
El Roto_Ariopsis canteri_Mediano;3520;4731
Puerto Triunfo_Prochilodus magdalenae_Revuelto;6000;6000
Maracayo_Hoplias malabaricus_Pequeño;2255;2255
Maracayo_Hoplias malabaricus_Grande;3797;3797
Maracayo_Prochilodus magdalenae_Grande;9667;10430
El Llanito_Megaleporinus muyscorum_Revuelto;894;1605
El Llanito_Plagioscion magdalenae_Revuelto;10714;10714
