SITIO_DESEMBARCO_METODO_DE_PESCA;Cuartil_inf_NUMERO_PESCADORES_hist;Cuartil_sup_NUMERO_PESCADORES_hist
Barrio La Unión_Línea de mano;1;2
Barrio La Unión_Palangre o espinel de fondo;2;3
Puerto Abajo (Dibulla)_Red de enmalle fija marina;2;3
Rincón del Mar_Red de enmalle de encierro continental;1;3
Las Delicias_Línea de mano;2;3
Barrio Pambelé_Red de enmalle fija marina;1;3
Puerto Arriba (Dibulla)_Línea de mano;3;3
Puerto Colombia_Palangre o espinel de fondo;3;5
Puerto Colombia_Línea de mano;1;2
Puerto Colombia_Red de enmalle de encierro marina;7;7
Puerto Colombia_Chinchorro de jala playa;16;24
Buritaca_Nasas de Peces;3;5
Buritaca_Chinchorro de jala playa;17;24
Buritaca_Palangre o espinel de fondo;3;4
Puerto Abajo (Dibulla)_Palangre o espinel de fondo;2;3
Desembarcadero (Juradó)_Red de enmalle fija continental;2;2
Buritaca_Línea de mano;2;3
Pasacaballos_Buceo marino mixto;1;2
Barrio La Unión_Atarraya;2;2
Robles_Buceo de peces;1;3
Las Delicias_Palangre o espinel de fondo;2;3
Puerto Abajo (Dibulla)_Nasas de Peces;3;4
Puerto Colombia_Línea de mano cometa;1;1
Puerto Velero_Nasas de Peces;3;4
El Llanito_Línea de mano;2;2
Puerto Velero_Palangre o espinel de fondo;2;3
Puerto Velero_Atarraya;1;1
Casino_Atarraya;1;2
Puerto Boquillas_Atarraya;1;2
Playa Arboletes_Línea de mano;1;3
Puerto Abajo (Dibulla)_Línea de mano;2;3
Gaira_Atarraya;1;2
Puerto Pozuelo - La Rinconada_Línea de mano;1;1
Macurutú - Saloa_Nasas de Peces;2;2
Santiago Apóstol_Palangre calandrio;1;1
Bocanegra_Red de enmalle de encierro marina;1;2
Buritaca_Línea de mano correteo curricán o trolling;2;2
Jegua_Red de enmalle de deriva continental;1;2
Las Delicias_Red de enmalle chuchera;2;2
Puerto Asure_Red de enmalle de deriva continental;1;2
Las Flores_Palangre o espinel de fondo;3;5
Puerto Colombia_Atarraya;1;1
Puerto Chucha_Línea de mano correteo curricán o trolling;3;3
Barrio La Unión_Red de enmalle langostera;2;3
Buritaca_Red de enmalle de encierro marina;4;5
Tajamar Occidental_Chinchorro marino;6;6
El Pasito_Red de enmalle de deriva marina;2;2
Playa Arboletes_Red de enmalle de encierro marina;6;6
Puerto Amor_Red de enmalle de deriva continental;1;2
Las Tenazas_Red de enmalle fija marina;1;1
Las Delicias_Buceo de langosta;2;4
San Nicolás (Santa Cruz De Mompox)_Chinchorro continental;2;4
Damaquiel_Red de enmalle fija marina;2;3
Uveros_Red de enmalle fija marina;1;3
Puerto Asure_Palangre calandrio;1;2
Puerto Pozuelo - La Rinconada_Palangre calandrio;1;2
Puerto El Waffe marino_Red de enmalle fija marina;2;3
Puerto El Waffe marino_Flecha;2;2
Rincón del Mar_Red de enmalle de encierro marina;1;4
La Mata_Palangre calandrio;1;1
La Peinada_Atarraya;1;2
Armenia_Red de enmalle fija continental;1;2
Los Tendales_Red de enmalle fija continental;2;2
Lamas_Red de enmalle fija continental;1;2
Belén (El Banco)_Palangre calandrio;1;2
Belén (El Banco)_Red de enmalle fija continental ciénaga;1;2
Puerto las Marías  Real del Obispo_Atarraya;2;2
Puerto las Marías  Real del Obispo_Red de enmalle fija continental;2;2
Puerto La Candelaria_Red de enmalle fija continental;1;2
Guazo_Red de enmalle fija continental;1;2
Guazo_Palangre calandrio;1;1
Villa Venecia_Red de enmalle fija continental;1;2
Puerto La Candelaria_Atarraya;1;2
Villa Venecia_Atarraya;1;2
Puerto del Cerrito_Red de enmalle fija continental ciénaga;1;2
Puerto Ciénaga de Paredes_Red de enmalle fija continental;1;2
Puerto Montecristo_Red de enmalle fija continental;1;2
Puerto Montecristo_Atarraya;1;2
Orejero_Red de enmalle fija continental;1;2
La Peinada_Red de enmalle fija continental;1;2
Méjico_Chinchorro continental;2;2
Méjico_Palangre calandrio;1;2
Méjico_Red de enmalle fija continental;1;2
Playa Totumo_Red de enmalle fija marina;2;2
Playa Totumo_Red de enmalle camaronera;1;2
Playa Totumo_Línea de mano;1;2
Berrugas_Red de enmalle de encierro marina;4;5
Chapundun_Red de enmalle fija continental;1;2
Chapinero_Atarraya;2;2
Chapundun_Línea de mano;1;2
Berrugas_Buceo de peces;1;2
El Toro_Red de enmalle fija continental;1;2
Chapinero_Línea de mano;1;2
Berrugas_Chinchorro marino;10;20
Bocas del Atrato_Red de enmalle fija marina;1;2
Bocas del Atrato_Flecha;1;2
Bocas del Atrato_Buceo de peces;2;3
Palomino_Red de enmalle fija continental;2;2
Chapundun_Atarraya;1;2
Chapinero_Red de enmalle fija continental;2;2
Bocas del Atrato_Palangre o espinel de fondo;1;2
El Roto_Red de enmalle fija marina;1;3
Lamas_Línea de mano;1;1
Puerto Bello_Red de enmalle fija continental;2;2
Nueva Estrella_Red de enmalle fija continental;1;2
Lomita Arena_Atarraya;2;2
Lomita Arena_Red de enmalle fija marina;2;4
Casco urbano Roma_Red de enmalle fija continental;1;2
Casco urbano Roma_Atarraya;1;1
San José_Red de enmalle fija continental;1;2
San José_Atarraya;1;2
Méjico_Atarraya;1;2
Villanueva_Red de enmalle fija continental;1;2
Méjico_Red de enmalle de deriva continental;1;2
Carrizal_Red de enmalle fija marina;3;7
Guacamayo_Red de enmalle fija continental;1;2
Cecilia_Red de enmalle fija continental;1;2
Cecilia_Atarraya;1;2
Cecilia_Línea de mano;1;2
Bocas de Seheve_Atarraya;2;2
Bocas de Seheve_Línea de mano;1;1
Bocas de Seheve_Red de enmalle fija continental;1;2
Carrizal_Nasas de Peces;3;5
Carrizal_Buceo marino mixto;4;14
Concepción - Tacamocho_Chinchorra;3;5
Carrizal_Red de arrastre artesanal a la pareja;3;4
Santa Clara_Red de enmalle fija continental;1;2
Concepción - Tacamocho_Red de enmalle fija continental;1;2
Villanueva_Red de enmalle de deriva continental;1;2
San Sebastian_Red de enmalle fija marina;1;2
Armenia_Nasas de Peces;2;3
Santa Clara_Atarraya;2;2
Berrugas_Línea de mano;1;2
Aipir_Red de enmalle fija marina;3;10
Cabo de la Vela_Red de enmalle fija marina;2;4
Santa Clara_Palangre calandrio;1;1
Cispataca_Red de enmalle fija continental;1;2
Guacamayo_Palangre calandrio;1;2
Barrio La Unión_Aros;2;2
Puerto de Bolombolo_Palangre calandrio;1;2
Puerto de Bolombolo_Atarraya;2;2
Cispataca_Atarraya;1;2
Ciénaga de Mesolandia_Red de enmalle fija continental;1;2
Ciénaga de Mesolandia_Atarraya;1;3
San Luis_Red de enmalle fija continental;1;2
Los Tendales_Atarraya;2;2
Puerto el Doce_Red de enmalle fija continental;2;2
Puerto el Doce_Línea de mano;1;2
Nueva Estrella_Red de enmalle de deriva continental;1;1
Nueva Estrella_Atarraya;1;2
Palanca_Red de enmalle fija continental;1;2
Nueva Estrella_Palangre calandrio;1;2
Palanca_Red de enmalle de deriva continental;1;2
Puerto el Doce_Atarraya;1;2
Campo alegre_Red de enmalle fija continental;1;2
Villanueva_Atarraya;1;2
Palanca_Chinchorro continental;2;4
Palanca_Palangre calandrio;1;2
Palomar_Red de enmalle fija continental;1;2
Concepción - Tacamocho_Línea de mano;1;2
Palomar_Palangre calandrio;1;2
Palanca_Atarraya;1;2
Manaure Abajo_Línea de mano;3;4
