SITIO_DESEMBARCO_METODO_DE_PESCA;Cuartil_inf_horas_trab_hist;Cuartil_sup_horas_trab_hist;Cuartil_inf_profundidad_hist;Cuartil_sup_profundidad_hist
La Casa del Pescador_Red de enmalle fija marina;11,67000008;17,42000008;12;24
Bocanegra_Atarraya;5,74849999;7,851499915;2;2
Casino_Línea de mano fija marina;5;71,825;8;40
Palomar_Red de enmalle de deriva continental;2;11;3;4
Morrosquillo_Línea de mano fija marina;3;7,170000076;5;17
Morrosquillo_Atarraya;2,5;6;4;13
Puerto Barrio El Progreso_Red de enmalle de deriva continental;6,5;13,5;4;7
Guineal_Red de enmalle fija marina;2;14,62950001;2;6
Arroyito_Atarraya;2,500999999;5;5;6
Arroyito_Línea de mano fija marina;4,869999886;10,94549985;8;12
Palomar_Red de enmalle fija continental;16;20;2;2
Puerto de las Canoas (Puerto Berrío)_Chinchorra;9,475500107;72,51399956;2;4
Puerto Maco/Puerto Momico_Red de enmalle fija continental;7,170000076;10,42000008;5;10
Puerto Maco/Puerto Momico_Atarraya;7,5;15,07999992;3;10
Manaure Centro_Red de enmalle de encierro marina;7,5;11,32999992;14;14
Puerto Maco/Puerto Momico_Palangre calandrio;4,329999924;15,42000008;6;8
Manaure Abajo_Red de enmalle de encierro marina;7,670000076;11,17000008;14;14
Manaure Abajo_Palangre o espinel de fondo;10,18600006;14,92000008;29;32
Usaragá_Palangre o espinel de fondo;2,779999971;8,149999619;8;18
Usaragá_Red de enmalle de deriva marina;2,067499936;7,84800005;3;18
Orpua_Red de enmalle fija marina;8,5;16,5;5;10
Cecilia_Atarraya;4,270000076;6;2;2
Cecilia_Red de enmalle fija continental;17,5;19,25;2;2
Villanueva_Red de enmalle fija continental;14,92000008;18,67000008;2;3
El Llanito_Atarraya;4;9;2;2
Villanueva_Red de enmalle de deriva continental;2,670000076;9,170000076;4;5
El Llanito_Palangre calandrio;10,23199997;18,95999985;2;2
Villanueva_Atarraya;2,686000061;6,484000015;2;2
El Roto_Red de enmalle fija marina;15,39999962;17,92000008;3;3
Marralú_Palangre calandrio;6,25;17,75;2;2
Desembarcadero (Supía)_Atarraya;13,17000008;15,82999992;3;3
Cecilia_Red de enmalle de deriva continental;3,778000069;5,5;3;4
Curillo_Línea de mano fija continental;13;15,5;3;6
Villa Fátima_Red de enmalle de encierro marina;8,170000076;11,5;12;12
Mulatos_Palangre o espinel de fondo;2,559500027;4,440499973;6;9
Mulatos_Red de enmalle fija marina;3;16,17000008;6;10
Curillo_Red de enmalle fija continental;12,5;15;2;4
El Llanito_Red de enmalle de deriva continental;6,363999939;12,23400002;2;2
Sempegua_Chinchorra;6;15;1;3
Playa Necoclí_Red de enmalle fija marina;4;75,925;5;14
La Pedrera_Palangre calandrio;10,68250036;75,42000008;4;11
Mayapo_Red de enmalle fija marina;6,329999924;14,82999992;7;65
La Pedrera_Red de enmalle fija continental;11,27799997;78,72700272;4;9
Playa Necoclí_Red de enmalle fija marina campaña;28,15;98;5;14
Pizarro_Red de enmalle camaronera;7,526999998;165;9;26
Mayapo_Buceo de langosta;4,579999924;8,170000076;6;11
Mayapo_Línea de mano fija marina;5,932000065;10,07999992;11;22
Puerto Arango_Atarraya;7,5;11,40200005;3;4
Piedras Blancas_Buceo de langosta;6,375500011;8,729999542;9;14
Zapata_Red de enmalle fija marina;3;19,92349997;6;12
Mayapo_Palangre o espinel de fondo;6,670000076;9,920000076;8;49
La Peinada_Buceo de peces;7,079999924;9,420000076;1;2
Mayapo_Nasas de Peces;4,170000076;125,3950005;6;29
La Gloria_Red de enmalle fija continental;18,12049999;46,66999817;2;4
Puerto de Gamarra_Chinchorro continental;11,82999992;45,20600128;2;4
Puerto de Gamarra_Chinchorra;22;37,5;3;4
Candelaria (Chimichagua)_Red de enmalle fija continental ciénaga;13,61300006;40,26749973;2;7
Candelaria (Chimichagua)_Chinchorra;8,149999619;16,72999954;1;2
San Nicolás (Nechí)_Red de enmalle de deriva continental;3;12,32199993;3;5
San Nicolás (Nechí)_Atarraya;3,5;11,13600006;2;4
San Nicolás (Nechí)_Red de enmalle fija continental;13,75;19;2;3
San Nicolás (Nechí)_Palangre calandrio;14,05950003;19;2;3
Rincón del Mar_Línea de mano fija marina;4,405000091;8,477499723;4;13
Rincón del Mar_Red de enmalle de encierro marina;3,720000029;8,930000305;3;4
Taburetera_Red de enmalle fija continental;14,5;17;2;2
Piedras Blancas_Buceo marino mixto;6,480000019;8,729999542;9;13
Arrimadero La Unión_Línea de mano fija marina;10,77000046;41,27800064;10;32
Arrimadero La Unión_Red de enmalle fija marina;13,01499987;42,29000092;8;18
Arrimadero La Unión_Palangre o espinel de fondo;7;124,55;18;115
Cispataca_Red de enmalle fija continental;16,60000038;20,12999916;2;3
Punta de blanco_Red de enmalle fija continental;16,45000076;20,46999931;2;3
Popoya Playa_Red de enmalle fija marina;4,570000172;7,820000172;4;9
Puerto Chaparro_Red de enmalle de deriva continental;4,5;15;4;6
Puerto Chaparro_Chinchorro continental;13;17,5;3;4
Candelaria (Chimichagua)_Atarraya;7,71999979;9,5;2;6
Cispataca_Atarraya;5,134000111;7,5;2;4
La Pedrera_Red de enmalle de deriva continental;10,25600014;83,76799927;5;14
Puerto Chaparro_Red de enmalle fija continental;15;19,75;2;2
Puerto Chaparro_Nasas de Peces;11,4;14,05;2;3
Puerto Chaparro_Línea de mano fija continental;14,27799997;20,61050005;2;4
Puerto Chaparro_Atarraya;4;14,5;2;6
Cabo de la Vela_Línea de mano fija marina;2,337999916;5,965999985;5;8
Plaza de mercado (La Dorada)_Atarraya;6;18;2;4
Villa Venecia_Atarraya;5;7,75;1;5
La Punta_Buceo marino mixto;7,125500011;15,39249997;2;5
Bocas del Atrato_Red de enmalle fija marina;14,13000011;15,77999973;2;5
Puerto Asure_Red de enmalle fija continental;15,13000011;50,21300106;2;4
Bocas del Atrato_Palangre o espinel de fondo;16,75749989;18,72750063;4;7
Mayapo_Red de enmalle de encierro marina;5,178000069;8,325999928;7;16
Villa Fátima_Red de enmalle de deriva marina;10,67000008;12,5;8;12
Puerto Montecristo_Atarraya;7,170000076;9,329999924;3;3
San Antonio de Padua_Red de enmalle fija continental;14,65899992;25,29399967;2;4
Dorada_Atarraya;6,080500078;10,27649999;3;3
Dorada_Red de enmalle fija continental;15,56999969;18,72999954;2;2
El Roto_Palangre o espinel de fondo;15,81999969;19,45000076;8;45
Puerto Wilches_Chinchorra;21,32999992;23,5;4;5
Bocas de Seheve_Palangre calandrio;16;18;1;2
Clarinetero_Red de enmalle fija continental;3,559500027;18,10499992;4;6
Bocas de Seheve_Chinchorro continental;3,765999985;7;2;6
Puerto ESSO_Chinchorra;21,82999992;37,40950174;4;5
Bocas de Seheve_Red de enmalle fija continental;17;21,42000008;2;4
Puerto ESSO_Chinchorra nicurera;21,67000008;23,5;4;5
Bocas de Seheve_Red de enmalle de deriva continental;4;6;4;6
Puerto Principal (Puerto Lleras)_Línea de mano fija continental;9,976500034;17;3;6
Pueblo Nuevo_Red de enmalle camaronera;56,08000183;81,99400101;11;25
Miramar - Bahía Málaga_Red de enmalle de deriva marina;3,65;11,7;2;9
Miramar - Bahía Málaga_Red de enmalle fija marina;4;13,2;3;8
San Nicolás (Nechí)_Línea de mano fija continental;13,36499977;18,10000038;2;3
La Raya_Atarraya;6,039999962;8,292500019;2;4
Méjico_Atarraya;2,875500011;5,628500009;2;3
La Raya_Red de enmalle de deriva continental;4,670000076;7,579999924;4;4
Méjico_Red de enmalle de deriva continental;3,700000048;10,82999992;4;5
Méjico_Línea de mano fija continental;12,67500019;17,18500042;2;3
Bocas de Seheve_Atarraya;4;6;2;6
Betania (Montecristo)_Red de enmalle fija continental;15,80000019;17,54999924;1;2
Bahía de Cispatá_Arpón;5,5;8;2;2
Berlín_Línea de mano fija continental;14,17000008;16,57999992;1;2
Playa Totumo_Red de enmalle camaronera;3,35;51,59900055;4;10
Margento_Red de enmalle fija continental;15,75;17,32999992;2;2
Campo alegre_Red de enmalle fija continental;17,89999962;21,12649975;1;5
Cecilia_Palangre calandrio;17,62950001;19,75;2;2
Bazán La Bocana_Red de arrastre artesanal o changa;7,329999924;33,2375;7;11
Santa Clara_Red de enmalle fija continental;15,92000008;19,5;2;2
Puerto Serviez_Red de enmalle de deriva continental;4,296999931;25,45;4;6
Puerto Serviez_Atarraya;6,119000053;12;2;5
Puerto Serviez_Palangre calandrio;14;45,19399872;4;6
Mapiripán_Línea de mano fija continental;0,918999982;9,1525002;4;12
Mapiripán_Palangre calandrio;10,44400024;45,11600113;6;13
Puerto Serviez_Chinchorra;11;14,7;4;4
San Luis_Red de enmalle fija continental;16,14999962;20,92000008;2;5
Mapiripán_Red de enmalle de deriva continental;0,899999976;12,93999977;7;16
Comercializadores independientes (Guapi)_Red de enmalle fija marina;8,705499935;89,075;6;10
Chicopez_Red de enmalle fija marina;35,11499977;99,33499985;8;12
Codis_Atarraya;6,957499981;15;4;17
Casco urbano Roma_Red de enmalle fija continental;15,25;19,23099957;2;2
Agropez_Línea de mano fija marina;8;17,82999992;10;27
Mercado (Lorica)_Red de enmalle fija continental;17;21,82999992;2;2
Pueblo Lindo o Caimanera_Red de enmalle fija continental;15,25;18,52550058;2;4
Agropez_Red de enmalle fija marina;9,5;18;10;49
La Grande_Red de enmalle fija continental;15,75;19;3;7
Pueblo Lindo o Caimanera_Atarraya;6,218000031;9,755999947;2;4
Agropez_Atarraya;8;11,32999992;5;20
Barrio La Unión_Red de enmalle fija marina;3,371999931;19,67000008;4;12
Berrugas_Buceo de peces;3,329999924;7;6;7
Muelle Hong Kong_Red de enmalle fija continental;2,461000037;53,05500183;2;2
Muelle Hong Kong_Línea de mano fija continental;2;26,09199982;2;2
Barrio La Unión_Palangre o espinel de fondo;6,170000076;19,74249983;5;22
Barrio Chino_Línea de mano fija continental;10,66499987;13,67000008;1;2
Puerto Principal (Puerto Lleras)_Palangre calandrio;15;18;3;6
Jodedor_Red de enmalle de deriva marina;12;16;4;60
Jodedor_Red de enmalle de encierro marina;4;7;8;20
San José_Red de enmalle fija continental;14,32999992;18;2;2
San José_Atarraya;2,829999924;7;2;2
San José_Nasas de Peces;14;16,32999992;2;3
Palanca_Red de enmalle de deriva continental;3;9,5;4;4
Palanca_Palangre calandrio;10,82999992;13,82999992;1;1
Lomita Arena_Red de enmalle fija marina;9,5;17,67500019;5;13
La Raya_Palangre calandrio;14,63850002;16,82999992;1;2
Arquimedes_Línea de mano fija marina;5,5;8,170000076;4;23
Arquimedes_Atarraya;5;7,968000031;4;15
Locadía_Línea de mano fija marina;5,5;15;8;19
El Muelle (Barrancabermeja)_Red de enmalle de deriva continental;14,45200005;25,5;2;8
El Muelle (Barrancabermeja)_Atarraya;13,39499974;47,02000046;1;4
Codis_Red de enmalle fija marina;6,408000088;19;10;28
El Muelle (Barrancabermeja)_Chinchorra;13,76549997;45,25749817;1;6
Palanca_Red de enmalle fija continental;14,82999992;19,67000008;2;3
Vigía_Red de enmalle zangarreo;4,015999985;13,80600014;8;18
Puerto Antequera_Red de enmalle fija continental ciénaga;17,35000038;20,75;1;2
La Raya_Red de enmalle fija continental;14,17000008;18,57999992;2;2
Palomar_Línea de mano fija continental;14;18;2;2
Palomar_Atarraya;1;7;2;2
Puerto Montecristo_Red de enmalle fija continental;16,5;18,67000008;1;2
Puerto Arriba (Dibulla)_Red de enmalle fija marina;7,75;17,88999987;4;14
Puerto Barrio El Progreso_Red de enmalle fija continental;7,5;15,5;3;6
Palanca_Atarraya;2,25;5,388500023;2;3
Puerto Bello_Red de enmalle fija continental;16,17000008;19;2;4
Vigía_Red de enmalle camaronera;3,7;8;12;15
Puerto de Bolombolo_Palangre calandrio;14,25;17,92000008;2;2
Puerto de Bolombolo_Atarraya;4,170000076;9,329999924;3;4
Vigía_Línea de mano fija marina;8,15;63,9019989;28;77
Puerto Principal (Leticia)_Red de enmalle fija continental;4;35,675;3;5
Muelle Pescadores (Puerto Boyacá)_Chinchorra;12;24;2;3
Puerto de los Jhonsons (Puerto Boyacá)_Palangre calandrio;13,5;17,75;2;3
Milagros de la Mar_Palangre o espinel de fondo;17,67000008;26;22;306
Orpua_Palangre o espinel de fondo;5,938500023;15,9125;5;9
Honda_Atarraya;4;31,6;3;6
