SITIO_DESEMBARCO_METODO_DE_PESCA;Cuartil_inf_horas_trab_hist;Cuartil_sup_horas_trab_hist;Cuartil_inf_profundidad_hist;Cuartil_sup_profundidad_hist
San Miguel (Puerto Gaitán)_Atarraya;4,425;15,51799994;3;6
Barrio La Unión_Línea de mano correteo curricán o trolling;4,82200017;8,014999771;16;27
Barrio La Unión_Atarraya;6,357500124;12,29750013;4;10
Barrio La Unión_Aros;4,832499981;9,372499943;4;4
Barrio La Unión_Red de enmalle de encierro marina;4,363000154;7,882000017;4;5
Villanueva_Palangre calandrio;15,35300007;18,8;3;3
La Rampa (Barrancabermeja)_Palangre calandrio;17,65300007;40,42299938;2;3
Bocanegra_Red de enmalle fija continental;12,75;24,04899998;2;2
Concepción - Tacamocho_Atarraya;5,355499935;5,780499935;4;4
Puerto Chaparro_Atarraya rastra;16;16;3;3
Nueva Colonia_Red de enmalle de encierro marina;20,46000004;44,33499908;5;5
Casco urbano (Puerto Escondido)_Red de enmalle de deriva marina;17,5;17,5;20;20
Bazán_Red de enmalle fija marina;10;10;16;16
El Puerto (Tumaco)_Red de enmalle fija marina;51,16999817;51,16999817;10;10
