SITIODESEMBARCO_METODO_ESPECIE;Cuartil_inf_PESO_TOTALE_hist;Cuartil_sup_PESO_TOTALE_hist
Puerto López_Red de enmalle - Red de enmalle fija continental_Sorubim cuspicaudus;0,48;6,48
Puerto López_Red de enmalle - Red de enmalle fija continental_Oreochromis niloticus;1,5;8
El Puente_Atarraya - Atarraya_Cynopotamus magdalenae;1,2;7,77
Puerto López_Red de enmalle - Red de enmalle fija continental_Plagioscion magdalenae;0,67;6
Puerto López_Red de enmalle - Red de enmalle fija continental_Caquetaia kraussii;1;6
Cerro del Rosario_Red de enmalle - Red de enmalle fija continental_Caquetaia kraussii;1;4,5
Cerro del Rosario_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;1,5;14
Cerro del Rosario_Red de enmalle - Red de enmalle fija continental_Hoplias malabaricus;1;3,5
Cerro del Rosario_Red de enmalle - Red de enmalle fija continental_Plagioscion magdalenae;0,7;5,5
Rincón_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;1,2;26
Rincón_Red de enmalle - Red de enmalle de encierro continental_Prochilodus magdalenae;0,6;30,3
Rincón_Red de enmalle - Red de enmalle de encierro continental_Hoplias malabaricus;0,36;9,49
Rincón_Red de enmalle - Red de enmalle de encierro continental_Cyphocharax magdalenae;1,29;35
Rincón_Red de enmalle - Red de enmalle de encierro continental_Caquetaia kraussii;0,4;7,41
Robles_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;1,39;30
Robles_Red de enmalle - Red de enmalle fija continental_Hoplias malabaricus;1;23
Robles_Red de enmalle - Red de enmalle fija continental_Caquetaia kraussii;1,3;34,25
Robles_Red de enmalle - Red de enmalle fija continental_Oreochromis niloticus;0,4;21
Robles_Red de enmalle - Red de enmalle fija continental_Cyphocharax magdalenae;0,95;28
Mamón_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;1,8;26,4
Mamón_Red de enmalle - Red de enmalle fija continental_Hoplias malabaricus;0,84;20
Mamón_Red de enmalle - Red de enmalle fija continental_Caquetaia kraussii;1,4;28
Mamón_Red de enmalle - Red de enmalle fija continental_Trachelyopterus insignis;0,5;12
Mamón_Red de enmalle - Red de enmalle fija continental_Cyphocharax magdalenae;1,14;27,6
Rincón_Red de enmalle - Red de enmalle fija continental_Hoplias malabaricus;0,4;14,4
Rincón_Red de enmalle - Red de enmalle fija continental_Caquetaia kraussii;0,45;14,53
Rincón_Red de enmalle - Red de enmalle fija continental_Oreochromis niloticus;0,4;14,03
Rincón_Red de enmalle - Red de enmalle fija continental_Cyphocharax magdalenae;0,9;17,89
Rincón_Red de enmalle - Red de enmalle fija continental_Mugil incilis;0,2;2,19
