SITIODESEMBARCO_METODO_ESPECIE;Cuartil_inf_PESO_TOTALE_hist;Cuartil_sup_PESO_TOTALE_hist
Primera Ensenada_Línea de mano - Línea de mano fija marina_Chloroscombrus chrysurus;1,02;4,62
Charambirá_Red de enmalle - Red de enmalle fija marina_Lutjanus jordani;6,35;12,65
San José_Atarraya - Atarraya_Ageneiosus pardalis;1,13;4,68
Agropez_Red de enmalle - Red de enmalle fija marina_Diapterus rhombeus;12;12
El Porvenir_Línea de mano - Línea de mano correteo curricán o trolling_Scomberomorus brasiliensis;0,64;2,88
Codis_Línea de mano - Línea de mano fija marina_Centropomus pectinatus;1,09;4,48
Puerto Chucha_Red de enmalle - Red de enmalle fija marina_Lutjanus vivanus;2,65;10,45
Quiroga_Red de enmalle - Red de enmalle camaronera_Polydactylus opercularis;5;5
La Tagua_Línea de mano - Línea de mano fija continental_Calophysus macropterus;1,04;2,99
La Tagua_Línea de mano - Línea de mano fija continental_Brycon falcatus;2,5;2,5
La Tagua_Línea de mano - Línea de mano fija continental_Rhaphiodon vulpinus;0,6;0,6
Punta Bonita_Chinchorro marino - Chinchorro marino_Polydactylus opercularis;26,9;35,4
Punta Bonita_Chinchorro marino - Chinchorro marino_Selene peruviana;20;20
Ica-Copipa_Línea de mano - Línea de mano fija marina_Ocyurus chrysurus;2,92;11,25
Ica-Copipa_Línea de mano - Línea de mano fija marina_Rachycentron canadum;3,55;4,45
Camarones_Línea de mano - Línea de mano fija marina_Lutjanus cyanopterus;6;6
Camarones_Línea de mano - Línea de mano fija marina_Caranx hippos;5,42;31,08
Chapinero_Red de enmalle - Red de enmalle fija continental_Ctenolucius hujeta;0,08;0,1
Miramar - Bahía Málaga_Línea de mano - Línea de mano fija marina_Caranx caballus;4,3;7,9
Miramar - Bahía Málaga_Línea de mano - Línea de mano fija marina_Sphyraena ensis;11,75;37,4
Cooperativas - Pueblo Nuevo_Red de enmalle - Red de enmalle camaronera_Cynoscion phoxocephalus;1;22,3
Miramar - Bahía Málaga_Línea de mano - Línea de mano fija marina_Hoplopagrus guentherii;7;7
Bocanegra_Palangre o Espinel - Palangre o espinel de fondo_Notarius neogranatensis;0,49;2,05
Puerto Miraflores_Red de enmalle - Red de enmalle marina de fondo_Caranx sexfasciatus;14;14
Puerto Miraflores_Red de enmalle - Red de enmalle marina de fondo_Seriola rivoliana;6;6
Purricha_Red de enmalle - Red de enmalle fija marina_Haemulon scudderii;1;1
Puerto Principal (Leticia)_Red de enmalle - Red de enmalle fija continental_Leporinus fasciatus;12,1;12,1
Laguna Colorada_Red de enmalle - Red de enmalle de deriva continental_Pseudoplatystoma metaense;8,6;8,6
Cupica_Línea de mano - Línea de mano fija marina_Microlepidotus brevipinnis;15,5;15,5
Casino_Línea de mano - Línea de mano fija marina_Oligoplites saliens;0,08;0,08
Casino_Palangre o Espinel - Palangre o espinel de fondo_Scomberomorus brasiliensis;0,51;0,51
El Puerto (Puerto Carreño)_Palangre o Espinel - Palangre calandrio_Semaprochilodus kneri;13,6;13,6
Casino_Línea de mano - Línea de mano fija marina_Lutjanus analis;4,82;103,85
Pueblo Nuevo (Barrancominas)_Línea de mano - Línea de mano fija continental_Potamorhina altamazonica;0,39;0,39
Chapinero_Red de enmalle - Red de enmalle fija continental_Oreochromis niloticus;0,3;0,58
Betania - Naya_Red de enmalle - Red de enmalle camaronera_Peprilus spp.;5,75;5,75
Palanca_Línea de mano - Línea de mano fija continental_Pseudopimelodus atricaudus;0,33;0,33
Sempegua_Red de enmalle - Red de enmalle fija continental_Oreochromis niloticus;0,51;16,27
Cooperativas - Pueblo Nuevo_Red de enmalle - Red de enmalle camaronera_Bagre pinnimaculatus;2;18,2
Cooperativas - Pueblo Nuevo_Red de enmalle - Red de enmalle camaronera_Notarius troschelii;1;5,1
Taganga_Ballestilla/Palangre parguera - Ballestilla/Palangre parguera_Acanthocybium solandri;15;15
Virudó_Atarraya - Atarraya_Centropomus medius;2;2
El Porvenir_Buceo - Buceo marino mixto_Ocyurus chrysurus;1;3,72
Domingodó_Línea de mano - Línea de mano fija continental_Megalops atlanticus;7,12;7,48
Domingodó_Red de enmalle - Red de enmalle fija continental_Cynopotamus atratoensis;0,69;3,84
Docordó_Red de enmalle - Red de enmalle de deriva marina_Cynoponticus coniceps;2,5;2,5
Guataquí_Trampas o Nasas - Nasas de Peces_Pimelodus grosskopfii;0,3;0,3
Guataquí_Trampas o Nasas - Nasas de Peces_Prochilodus magdalenae;0,18;1,89
Dotenedó_Red de enmalle - Red de enmalle camaronera_Bagre pinnimaculatus;10;10
Dotenedó_Red de enmalle - Red de enmalle camaronera_Polydactylus approximans;4;4
Miel de Abeja_Palangre o Espinel - Palangre o espinel de fondo_Lutjanus aratus;12;12
Miel de Abeja_Red de enmalle - Red de enmalle de deriva marina_Scomberomorus sierra;34;34
Bahía de Santa Marta_Buceo - Buceo de peces_Conger triporiceps;15;15
Purricha_Palangre o Espinel - Palangre o espinel de fondo_Haemulopsis elongatus;0,5;0,5
Bazurto_Línea de mano - Línea de mano fija marina_Mugil liza;2,15;13,5
Champaché_Línea de mano - Línea de mano fija marina_Bairdiella ronchus;7;7
San Miguel (Puerto Gaitán)_Red de enmalle - Red de enmalle fija continental_Prochilodus mariae;2,36;4,33
Las Tenazas_Trampas o Nasas - Nasas de Peces_Lutjanus griseus;4,05;4,5
Purricha_Red de enmalle - Red de enmalle fija marina_Larimus argenteus;0,62;3,38
Bocanegra_Red de enmalle - Red de enmalle fija marina_Kyphosus vaigiens;1,4;1,4
La Tranca_Red de enmalle - Red de enmalle fija continental_Trichopodus pectoralis;0,13;1,35
Puerto Arriba (Dibulla)_Palangre o Espinel - Palangre o espinel de fondo_Ariopsis canteri;7,5;7,5
Puerto Real - Saloa_Red de enmalle - Red de enmalle fija continental_Triportheus magdalenae;0,28;0,58
Puerto Arriba (Dibulla)_Palangre o Espinel - Palangre o espinel de fondo_Centropomus undecimalis;3;3
Punta Bonita_Red de enmalle - Red de enmalle camaronera_Sphoeroides spp.;24;24
Puerto (Arauquita)_Recolección manual - Recolección manual de mota_Calophysus macropterus;32,1;49,2
Puerto (Arauquita)_Recolección manual - Recolección manual de mota_Pimelodus blochii;9,93;16,68
Puerto (Arauquita)_Línea de mano - Línea de mano fija continental_Duopalatinus peruanus;2,5;2,5
Puerto (Arauquita)_Línea de mano - Línea de mano fija continental_Pimelodus blochii;3,5;3,5
Pesquera Aspabab_Red de enmalle - Red de enmalle camaronera_Bairdiella ensifera;0,98;9,53
Puerto principal (San Vicente del Caguán)_Línea de mano - Línea de mano fija continental_Brachyplatystoma filamentosum;8,54;11,15
Puerto principal (San Vicente del Caguán)_Línea de mano - Línea de mano fija continental_Brachyplatystoma juruense;2,1;2,1
Puerto (Orocué)_Red de enmalle - Red de enmalle fija continental_Pterodoras rivasi;9,45;20,4
El Porvenir_Línea de mano - Línea de mano fija marina_Ocyurus chrysurus;0,49;2,3
El Porvenir_Buceo - Buceo marino mixto_Alectis ciliaris;0,63;1,08
Desembarcadero (Juradó)_Línea de mano - Línea de mano fija marina_Gnathanodon speciosus;19,5;19,5
Pomeño_Red de enmalle - Red de enmalle fija marina_Notarius spp.;1,85;5,45
Puerto (Arauquita)_Atarraya - Atarraya_Serrasalmus rhombeus;1,3;1,3
El Muelle (Barrancabermeja)_Atarraya - Atarraya porro_Sorubim cuspicaudus;23,5;23,5
El Muelle (Barrancabermeja)_Atarraya - Atarraya porro_Ageneiosus pardalis;8,5;8,5
Casco urbano Roma_Red de enmalle - Red de enmalle fija continental_Rhamdia guatemalensis;0,14;0,89
Chapinero_Atarraya - Atarraya_Saccodon dariensis;0,08;0,29
Cangrejito_Línea de mano - Línea de mano fija marina_Larimus breviceps;1,02;1,48
Puerto (Orocué)_Palangre o Espinel - Palangre calandrio_Pterodoras rivasi;6,92;18,46
Locadía_Línea de mano - Línea de mano fija marina_Centropomus pectinatus;0,4;4,4
Mayapo_Red de enmalle - Red de enmalle langostera_Caranx hippos;6,5;6,5
La Tagua_Línea de mano - Línea de mano fija continental_Plagioscion squamosissimus;1,92;10,04
Playa de Arusí_Línea de mano - Línea de mano fija marina_Lutjanus inermis;0,43;0,43
Tagachí_Línea de mano - Línea de mano fija continental_Pimelodus sp. 2;0,58;0,58
Purricha_Red de enmalle - Red de enmalle fija marina_Menticirrhus panamensis;0,58;1,85
Berlín_Red de enmalle - Red de enmalle fija continental_Loricariichthys brunneus;0,11;1,21
San Nicolás (Nechí)_Línea de mano - Línea de mano fija continental_Piaractus brachypomus;10,2;10,2
San Nicolás (Nechí)_Red de enmalle - Red de enmalle fija continental_Centrochir crocodili;1,26;4,16
Berlín_Chinchorro continental - Chinchorro continental_Loricariichthys brunneus;0,24;1,18
La Mata_Red de enmalle - Red de enmalle fija continental_Triportheus magdalenae;0,25;3,75
Puerto Chucha_Red de enmalle - Red de enmalle fija continental_Oreochromis niloticus;3,1;3,1
Berlín_Atarraya - Atarraya_Loricariichthys brunneus;0,14;0,79
Casino_Línea de mano - Línea de mano fija marina_Lutjanus griseus;4,05;93,64
Casino_Línea de mano - Línea de mano fija marina_Seriola rivoliana;13,56;107,25
Rincón del Mar_Línea de mano - Línea de mano fija marina_Seriola dumerili;2,38;5,02
Pesqueras - Pueblo Nuevo_Palangre o Espinel - Palangre o espinel de fondo_Lutjanus guttatus;2,6;124
Pesqueras - Pueblo Nuevo_Palangre o Espinel - Palangre o espinel de fondo_Lutjanus peru;4,1;7,7
Pesqueras - Pueblo Nuevo_Palangre o Espinel - Palangre o espinel de fondo_Cynoponticus coniceps;6,1;334,9
Muelle Hong Kong_Atarraya - Atarraya_Zungaro zungaro;4;4
Muelle Hong Kong_Red de enmalle - Red de enmalle fija continental_Brachyplatystoma rousseauxii;39,28;102,8
Muelle Hong Kong_Recolección manual - Recolección manual de mota_Megalonema sp. 1;12;12
Tribugá_Línea de mano - Línea de mano fija marina_Kyphosus elegans;0,25;0,25
Tribugá_Línea de mano - Línea de mano fija marina_Mugil curema;0,29;0,71
Pesqueras - Pueblo Nuevo_Palangre o Espinel - Palangre o espinel de fondo_Sciades dowii;8,25;12,75
Pesqueras - Pueblo Nuevo_Palangre o Espinel - Palangre o espinel de fondo_Lutjanus argentiventris;4;22
Pesqueras - Pueblo Nuevo_Palangre o Espinel - Palangre o espinel de fondo_Epinephelus analogus;12;12
Pesqueras - Pueblo Nuevo_Palangre o Espinel - Palangre o espinel de fondo_Hoplopagrus guentherii;20;20
Pesqueras - Pueblo Nuevo_Palangre o Espinel - Palangre o espinel de fondo_Lutjanus novemfasciatus;6,3;14,8
Marriaga_Red de enmalle - Red de enmalle fija continental_Colossoma macropomum;0,72;3,81
Tribugá_Línea de mano - Línea de mano fija marina_Gnathanodon speciosus;2,5;2,5
Comercializadores independientes (Guapi)_Red de enmalle - Red de enmalle fija marina_Penaeus occidentalis;2,05;2,95
Betania - Naya_Red de enmalle - Red de enmalle camaronera_Bagre pinnimaculatus;20;20
Puerto Real - Saloa_Red de enmalle - Red de enmalle fija continental_Pseudoplatystoma magdaleniatum;1,5;2,85
Las Brisas_Red de enmalle - Red de enmalle fija continental_Colossoma macropomum;0,71;6,1
Punta Bonita_Chinchorro marino - Chinchorro marino_Polydactylus approximans;16,8;39,6
Punta Bonita_Red de enmalle - Red de enmalle camaronera_Polydactylus approximans;7;42,6
La Tranca_Red de enmalle - Red de enmalle fija continental_Panaque cochliodon;0,32;0,87
Purricha_Palangre o Espinel - Palangre o espinel de fondo_Mugil cephalus;1;1
Belén (San Marcos)_Atarraya - Atarraya rastra_Triportheus magdalenae;0,08;0,19
San Antonio de Padua_Línea de mano - Línea de mano fija continental_Brycon moorei;2,09;6,96
Puerto principal (San Vicente del Caguán)_Línea de mano - Línea de mano fija continental_Sorubim lima;3,45;7,95
Guataquí_Palangre o Espinel - Palangre calandrio_Brycon moorei;0,6;0,92
Taganga_Línea de mano - Línea de mano - Ballestilla_Lachnolaimus maximus;10;10
Punta Ardita_Línea de mano - Línea de mano fija marina_Selene brevoortii;3,56;5,09
Méjico_Red de enmalle - Red de enmalle de deriva continental_Trachelyopterus insignis;0,42;0,46
Puerto Chucha_Red de enmalle - Red de enmalle fija marina_Bagre bagre;1,2;1,2
Desembarcadero (Juradó)_Red de enmalle - Red de enmalle fija marina_Gnathanodon speciosus;7,6;9,4
Nueva Ola_Línea de mano - Línea de mano fija continental_Ageneiosus pardalis;0,47;1,44
Nueva Ola_Línea de mano - Línea de mano fija continental_Sternopygus aequilabiatus;0,54;2,61
Laguna Colorada_Red de enmalle - Red de enmalle fija continental_Plagioscion squamosissimus;0,75;2,69
Camarones_Red de enmalle - Red de enmalle de encierro marina_Centropomus undecimalis;10;10
Camarones_Línea de mano - Línea de mano fija marina_Seriola zonata;15;15
Lomita Arena_Línea de mano - Línea de mano fija marina_Kyphosus sectatrix;1,6;1,6
Mulatos_Palangre o Espinel - Palangre o espinel de superficie_Caranx hippos;5,08;6,42
Lomita Arena_Red de enmalle - Red de enmalle de encierro marina_Anisotremus surinamensis;0,45;0,45
El Pedral_Red de enmalle - Red de enmalle de deriva continental_Caquetaia kraussii;0,11;0,41
Isla Fuerte_Línea de mano - Línea de mano correteo curricán o trolling_Haemulon plumieri;3,5;3,5
Dotenedó_Red de enmalle - Red de enmalle fija marina_Oligoplites altus;2;2
Dotenedó_Línea de mano - Línea de mano fija marina_Bagre pinnimaculatus;2,1;3,9
Puerto (Arauquita)_Línea de mano - Línea de mano fija continental_Mylossoma albiscopum;30;30
Puerto (Arauquita)_Línea de mano - Línea de mano fija continental_Schizodon scotorhabdotus;4,5;4,5
Puerto (Arauquita)_Línea de mano - Línea de mano fija continental_Prochilodus mariae;1,4;1,4
Puerto (Arauquita)_Línea de mano - Línea de mano fija continental_Sorubim lima;2,5;2,5
Policía fluvial (Quibdó)_Red de enmalle - Red de enmalle fija continental_Astyanax fasciatus;4,2;4,85
Policía fluvial (Quibdó)_Red de enmalle - Red de enmalle fija continental_Crossoloricaria variegata;0,26;1,13
Berlín_Atarraya - Atarraya_Pimelodus grosskopfii;0,21;1,94
Virudó_Línea de mano - Línea de mano fija marina_Thunnus alalunga;41,9;220,1
Distribuidoras de Tumaco_Red de enmalle - Red de enmalle de deriva marina_Seriola peruana;43,5;43,5
Guineal_Línea de mano - Línea de mano fija marina_Lutjanus argentiventris;1,8;9,4
Primera Ensenada_Línea de mano - Línea de mano fija marina_Seriola rivoliana;15,85;15,85
Purricha_Red de enmalle - Red de enmalle fija marina_Trachinotus paitensis;1;1
La Punta - Firme Cifuentes_Palangre o Espinel - Palangre o espinel de fondo_Sphoeroides spp.;12;12
Playa Blanca (Ayapel)_Red de enmalle - Red de enmalle fija continental_Isorineloricaria tenuicauda;0,18;2,73
El Malecón (Neiva)_Atarraya - Atarraya_Chaetostoma milesi;0,08;1,25
Las Tenazas_Trampas o Nasas - Nasas de Peces_Holocentrus adscensionis;2;2
Las Tenazas_Trampas o Nasas - Nasas de Peces_Caranx hippos;3;3
Sivirú_Red de enmalle - Red de enmalle fija marina_Haemulopsis leuciscus;0,5;5,4
Sapzurro_Línea de mano - Línea de mano fija marina_Hyporthodus flavolimbatus;7,53;15,9
El Roto_Red de enmalle - Red de enmalle fija marina_Selene vomer;0,95;0,97
Puerto Chucha_Palangre o Espinel - Palangre o espinel de fondo_Notarius neogranatensis;3,14;4,22
Puerto Chucha_Palangre o Espinel - Palangre o espinel de fondo_Penaeus schmitti;2;2
Zapata_Red de enmalle - Red de enmalle camaronera_Lobotes surinamensis;1;1
Tribugá_Línea de mano - Línea de mano fija marina_Scomberomorus sierra;1;5,45
Tribugá_Línea de mano - Línea de mano fija marina_Bagre pinnimaculatus;0,52;0,98
Arroyito_Línea de mano - Línea de mano fija marina_Caranx bartholomaei;7,9;7,9
Puerto principal (San Vicente del Caguán)_Atarraya - Atarraya_Megalonema sp. 1;1,04;6,88
La Tranca_Red de enmalle - Red de enmalle fija continental_Pterygoplichthys pardalis;0,21;1,29
Méjico_Red de enmalle - Red de enmalle fija continental_Pterygoplichthys pardalis;0,36;1,73
Pomeño_Red de enmalle - Red de enmalle de deriva marina_Larimus spp.;0,5;1
Casco urbano Roma_Red de enmalle - Red de enmalle fija continental_Sorubim cuspicaudus;0,28;2,19
Punta Bonita_Red de enmalle - Red de enmalle de deriva marina_Polydactylus opercularis;10;10
Purricha_Palangre o Espinel - Palangre o espinel de fondo_Polydactylus opercularis;0,5;0,95
Purricha_Palangre o Espinel - Palangre o espinel de fondo_Larimus argenteus;0,52;0,98
Bahía de Cispatá_Línea de mano - Línea de mano fija marina_Caranx bartholomaei;1;12,5
Muelle Principal (Puerto Leguízamo)_Red de enmalle - Red de enmalle fija continental_Myloplus rubripinnis;5,5;5,5
Muelle Principal (Puerto Leguízamo)_Red de enmalle - Red de enmalle fija continental_Myloplus schomburgkii;5,03;14,47
Vigía de Curvaradó_Red de enmalle - Red de enmalle fija continental_Hypostomus hondae;0,61;3,97
Las Delicias_Trampas o Nasas - Nasas de Peces_Lutjanus griseus;2;2
Lomita Arena_Red de enmalle - Red de enmalle de encierro marina_Micropogonias furnieri;0,8;0,8
Casco Urbano (San Juan de Urabá)_Arpón - Arpón_Lutjanus purpureus;5,46;18,84
Playa Totumo_Red de enmalle - Red de enmalle fija marina_Epinephelus spp.;6;6
Puerto principal (San Vicente del Caguán)_Atarraya - Atarraya_Salminus hilarii;1,65;4,6
Sivirú_Red de enmalle - Red de enmalle camaronera_Haemulopsis leuciscus;0,5;1,85
Bahía de Santa Marta_Línea de mano - Línea de mano fija marina_Epinephelus morio;5;5
Purricha_Palangre o Espinel - Palangre o espinel de fondo_Mugil curema;0,5;1,9
Purricha_Palangre o Espinel - Palangre o espinel de fondo_Polydactylus approximans;0,5;1
Berrugas_Red de enmalle - Red de enmalle de encierro marina_Sciades proops;2,5;2,5
Purricha_Red de enmalle - Red de enmalle fija marina_Mugil curema;1;10,5
Purricha_Red de enmalle - Red de enmalle fija marina_Polydactylus approximans;1,5;3,85
Guineal_Red de enmalle - Red de enmalle fija marina_Brycon meeki;1,2;6,8
La Boquilla_Palangre o Espinel - Palangre o espinel de superficie_Gymnothorax funebris;1;3,28
Puerto Chucha_Red de enmalle - Red de enmalle fija marina_Cynoscion steindachneri;1,25;3,86
Arroyito_Línea de mano - Línea de mano correteo curricán o trolling_Sphyraena guachancho;2,64;2,64
Las Tenazas_Trampas o Nasas - Nasas de Peces_Lutjanus purpureus;3,7;7,3
Arroyito_Línea de mano - Línea de mano fija marina_Elops smithi;0,98;0,98
Caño Grande_Línea de mano - Línea de mano fija continental_Megalops atlanticus;2,19;10,25
Galería (Guapi)_Palangre o Espinel - Palangre o espinel de fondo_Lutjanus guttatus;10;10
Candelaria (Chimichagua)_Red de enmalle - Red de enmalle fija continental_Sorubim cuspicaudus;0,32;1
Primera Ensenada_Línea de mano - Línea de mano fija marina_Chaetodipterus faber;2,53;3,07
Santa Cruz - Naya_Red de enmalle - Red de enmalle fija marina_Notarius troschelii;3,75;25,19
Santa Cruz - Naya_Red de enmalle - Red de enmalle fija marina_Cynoscion albus;5,75;19,25
Santa Cruz - Naya_Red de enmalle - Red de enmalle fija marina_Sciades dowii;2,9;14
Playa Nueva_Red de enmalle - Red de enmalle de deriva marina_Caranx caballus;40;236
Betania - Naya_Red de enmalle - Red de enmalle de deriva marina_Menticirrhus panamensis;2,5;2,5
Policía fluvial (Quibdó)_Red de enmalle - Red de enmalle fija continental_Pseudocurimata lineopunctata;0,25;13,21
Camarones_Red de enmalle - Red de enmalle de encierro marina_Elops smithi;1,5;1,5
La Tagua_Línea de mano - Línea de mano fija continental_Aguarunichthys inpai;2,3;2,3
Camarones_Red de enmalle - Red de enmalle de deriva marina_Notarius grandicassis;3,1;4,9
Cartagena del Chairá_Línea de mano - Línea de mano fija continental_Schizodon fasciatus;2,4;2,4
La Boquilla_Red de enmalle - Red de enmalle fija marina_Scomberomorus regalis;0,75;0,75
Casco Urbano (Arauca)_Línea de mano - Línea de mano fija continental_Pimelodus blochii;10,68;39,3
Amarales_Red de enmalle - Red de enmalle camaronera_Acanthocybium solandri;0,53;1,64
Las Delicias_Trampas o Nasas - Nasas de Peces_Sparisoma chrysopterum;5;18,95
Amarales_Red de enmalle - Red de enmalle camaronera_Sciades dowii;0,5;0,5
Pomeño_Palangre o Espinel - Palangre o espinel de fondo_Caranx caninus;3,5;3,5
Pomeño_Palangre o Espinel - Palangre o espinel de fondo_Sciades dowii;2;2
La Chamba_Línea de mano - Línea de mano fija continental_Megaleporinus muyscorum;1,1;1,1
La Chamba_Línea de mano - Línea de mano fija continental_Pimelodus yuma;0,61;0,79
La Chamba_Línea de mano - Línea de mano fija continental_Rhamdia guatemalensis;0,35;1,16
Vigía de Curvaradó_Red de enmalle - Red de enmalle fija continental_Cynopotamus atratoensis;0,56;0,78
Casco Urbano (San Juan de Urabá)_Arpón - Arpón_Caranx hippos;3,76;4,5
Damaquiel_Red de enmalle - Red de enmalle fija marina_Lutjanus purpureus;2;2
Cangrejito_Red de enmalle - Red de enmalle fija marina_Selene vomer;1,53;5,76
Charambirá_Red de enmalle - Red de enmalle fija marina_Melongena patula;145;145
Guataquí_Línea de mano - Línea de mano fija continental_Piaractus brachypomus;3,34;3,34
Playa Pescadores - Capurganá_Línea de mano - Línea de mano fija marina_Trachinotus falcatus;18;18
Puerto principal (San Vicente del Caguán)_Atarraya - Atarraya_Hypostomus oculeus;2,5;2,5
Pizarro_Red de enmalle - Red de enmalle de deriva marina_Penaeus occidentalis;0,37;12,46
Pomeño_Red de enmalle - Red de enmalle de deriva marina_Cynoscion spp.;1;1
Cispataca_Red de enmalle - Red de enmalle fija continental_Pimelodus grosskopfii;0,36;0,36
Sapzurro_Buceo - Buceo de peces_Lutjanus analis;9,3;14,7
Casco urbano (Puerto Escondido)_Red de enmalle - Red de enmalle fija marina_Trachinotus carolinus;0,26;1,01
Damaquiel_Red de enmalle - Red de enmalle fija marina_Cathorops mapale;2,6;50
Playa de Arusí_Línea de mano - Línea de mano fija marina_Tylosurus pacificus;0,62;3,7
Sivirú_Red de enmalle - Red de enmalle fija marina_Oligoplites altus;0,55;1,45
Chapinero_Red de enmalle - Red de enmalle fija continental_Rhamdia guatemalensis;0,3;0,86
Chapinero_Red de enmalle - Red de enmalle fija continental_Pimelodus sp. 6;0,52;2,68
El Puerto (Puerto Carreño)_Red de enmalle - Red de enmalle fija continental_Oxydoras sifontesi;1,79;2,56
Paujil_Red de enmalle - Red de enmalle fija continental_Trachycorystes trachycorystes;14,6;26,64
El Porvenir_Buceo - Buceo marino mixto_Megalops atlanticus;1;1
Cabo Marzo_Línea de mano - Línea de mano fija marina_Acanthurus xanthopterus;60;60
Charambirá_Red de enmalle - Red de enmalle fija marina_Macrodon mordax;3;7,65
Tasajera La Playa_Red de enmalle - Red de enmalle fija marina_Kyphosus sectatrix;1,37;2,9
El Roto_Red de enmalle - Red de enmalle fija marina_Trichiurus lepturus;1;1
Las Balsas_Palangre o Espinel - Palangre calandrio_Sorubim lima;1,1;3,8
Playa Nueva_Red de enmalle - Red de enmalle de deriva marina_Lutjanus colorado;11;11
Puerto (Arauquita)_Recolección manual - Recolección manual de mota_Pseudoplatystoma orinocoense;4,8;4,8
Uveros_Red de enmalle - Red de enmalle camaronera_Cathorops mapale;5;5
Uveros_Red de enmalle - Red de enmalle fija marina_Cathorops mapale;1,1;12,6
Champaché_Línea de mano - Línea de mano fija marina_Cynoscion acoupa;3,35;9,65
Puerto principal (San Vicente del Caguán)_Atarraya - Atarraya_Calophysus macropterus;1,61;3,68
La Gloria_Palangre o Espinel - Palangre calandrio_Brycon moorei;0,5;0,5
San Miguel (Puerto Gaitán)_Red de enmalle - Red de enmalle fija continental_Aphanotorulus emarginatus;2,47;4,21
Sapzurro_Línea de mano - Línea de mano fija marina_Octopus vulgaris;3,5;3,5
Puerto Chucha_Palangre o Espinel - Palangre o espinel de fondo_Lutjanus vivanus;3,5;3,5
Puerto La Candelaria_Red de enmalle - Red de enmalle fija continental_Abramites eques;0,21;0,21
Muelle Las Flores_Red de enmalle - Red de enmalle de deriva marina_Bagre pinnimaculatus;7,25;36,5
Muelle Las Flores_Red de enmalle - Red de enmalle de deriva marina_Lutjanus colorado;14,5;14,5
Muelle Las Flores_Red de enmalle - Red de enmalle de deriva marina_Notarius troschelii;13,5;13,5
Pizarro_Red de enmalle - Red de enmalle de deriva marina_Selar crumenophthalmus;1,4;8,6
Campo alegre_Red de enmalle - Red de enmalle fija continental_Centrochir crocodili;0,14;0,2
Cangrejito_Red de enmalle - Red de enmalle fija marina_Notarius grandicassis;2;2
Puerto La Candelaria_Atarraya - Atarraya rastra_Oreochromis niloticus;0,45;0,45
Puerto La Candelaria_Atarraya - Atarraya_Oreochromis niloticus;1,5;7,63
Playa Blanca (Ayapel)_Red de enmalle - Red de enmalle fija continental_Plagioscion magdalenae;0,28;1,61
Caño Grande_Línea de mano - Línea de mano fija continental_Ariopsis canteri;7,2;7,2
Puerto de Bolombolo_Atarraya - Atarraya_Brycon rubricauda;0,12;1,66
Pizarro_Red de enmalle - Red de enmalle de deriva marina_Lutjanus novemfasciatus;81;81
Tribugá_Línea de mano - Línea de mano fija marina_Polydactylus approximans;0,55;1,45
Virudó_Palangre o Espinel - Palangre o espinel de fondo_Mugil curema;3;3
Berlín_Red de enmalle - Red de enmalle fija continental_Trichopodus pectoralis;0,14;0,59
Puente Chambacú - Río Jella_Línea de mano - Línea de mano fija marina_Thunnus obesus;55;55
Puerto Boca_Red de enmalle - Red de enmalle fija continental río_Megaleporinus muyscorum;0,7;2,08
Casco Urbano (San Juan de Urabá)_Red de enmalle - Red de enmalle fija marina_Cathorops mapale;1,13;11,09
Juanchaco_Línea de mano - Línea de mano fija marina_Schedophilus haedrichi;5;18,75
Chontal_Red de enmalle - Red de enmalle de deriva marina_Canthidermis maculata;23;23
Cartagena del Chairá_Línea de mano - Línea de mano fija continental_Brachyplatystoma rousseauxii;12;12
Casino_Línea de mano - Línea de mano fija marina_Lutjanus cyanopterus;6,7;41,21
Mulatos_Palangre o Espinel - Palangre o espinel de superficie_Bagre filamentosus;1,05;3,3
Pueblo Nuevo (Barrancominas)_Palangre o Espinel - Palangre calandrio_Leporinus friderici;1,6;1,6
Puerto de Bolombolo_Atarraya - Atarraya_Rhamdia guatemalensis;0,2;0,2
Rincón del Mar_Red de enmalle - Red de enmalle de encierro marina_Elagatis bipinnulta;16,25;16,25
Codis_Red de enmalle - Red de enmalle fija marina_Xiphopenaeus kroyeri;2,2;2,2
Guataquí_Línea de mano - Línea de mano fija continental_Sorubim cuspicaudus;0,52;0,97
Ica-Copipa_Red de enmalle - Red de enmalle fija marina_Apsilus dentatus;0,9;8,55
Ica-Copipa_Línea de mano - Línea de mano fija marina_Trichiurus lepturus;0,25;0,25
Manaure Abajo_Red de enmalle - Red de enmalle de encierro marina_Priacanthus arenatus;21,47;126,06
Santa Cruz - Naya_Red de enmalle - Red de enmalle fija marina_Brycon meeki;4;12,3
Santa Cruz - Naya_Red de enmalle - Red de enmalle fija marina_Centropomus viridis;2,5;2,5
Casco urbano (Puerto Escondido)_Red de enmalle - Red de enmalle fija marina_Sparisoma aurofrenatum;4,6;7,06
El Malecón (Neiva)_Atarraya - Atarraya_Brycon amazonicus;0,21;1,19
Sicará_Red de enmalle - Red de enmalle fija continental_Pangasianodon hypophthalmus;7,5;7,5
Las Delicias_Trampas o Nasas - Nasas de Peces_Upeneus parvus;3,5;10
Codis_Línea de mano - Línea de mano fija marina_Centropomus ensiferus;1,03;2,92
San Miguel (Puerto Gaitán)_Palangre o Espinel - Palangre calandrio_Aphanotorulus emarginatus;3,11;3,3
