SITIODESEMBARCO_METODO_ESPECIE;Cuartil_inf_NUMERO_DE_EJEMPLARES_hist;Cuartil_sup_NUMERO_DE_EJEMPLARES_hist;Cuartil_inf_kg_IND_hist;Cuartil_sup_kg_IND_hist
Armenia_Red de enmalle - Red de enmalle fija continental_Plagioscion magdalenae;3;25;0,24;1,08
Clarinetero_Atarraya - Atarraya_Prochilodus mariae;29;287;0,3;0,65
Clarinetero_Atarraya - Atarraya_Mylossoma albiscopum;25;145;0,23;0,36
Clarinetero_Atarraya - Atarraya_Sorubim lima;8;62;0,24;0,5
Clarinetero_Atarraya - Atarraya_Megaleporinus sp. 1;6;44;0,53;0,97
Clarinetero_Atarraya - Atarraya_Piaractus orinoquensis;2;39;0,77;3,79
Bahía de Santa Marta_Línea de mano - Línea de mano correteo curricán o trolling_Caranx crysos;1;56;0,15;0,34
Bahía de Santa Marta_Línea de mano - Línea de mano correteo curricán o trolling_Euthynnus alletteratus;1;50;0,18;0,86
El Ferry_Red de enmalle - Red de enmalle de deriva continental_Prochilodus magdalenae;3;129;0,12;0,52
El Ferry_Red de enmalle - Red de enmalle de deriva continental_Curimata mivartii;9;108;0,07;0,13
El Ferry_Red de enmalle - Red de enmalle de deriva continental_Megaleporinus muyscorum;4;53;0,12;0,18
Caño Lobo_Atarraya - Atarraya_Centropomus undecimalis;1;19;0,15;1,75
Caño Lobo_Trampas o Nasas - Nasa de jaibas_Callinectes bocourti; ; ; ; 
El Ferry_Red de enmalle - Red de enmalle de deriva continental_Cynopotamus magdalenae;4;31;0,11;0,16
El Ferry_Red de enmalle - Red de enmalle de deriva continental_Triportheus magdalenae;37;1632;0,05;0,07
Montaño_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;2;200;0,21;0,43
Caño Lobo_Red de enmalle - Red de enmalle de encierro marina_Mugil incilis;26;165;0,1;0,17
El Malecón (Neiva)_Atarraya - Atarraya_Hypostomus niceforoi;5;83;0,08;0,12
El Malecón (Neiva)_Atarraya - Atarraya_Oreochromis niloticus;1;23;0,21;0,5
Puerto (Orocué)_Red de enmalle - Red de enmalle fija continental_Brachyplatystoma platynemum;2;13;2,16;4,67
Puerto (Orocué)_Red de enmalle - Red de enmalle fija continental_Zungaro zungaro;1;5;4,14;32,7
Puerto (Orocué)_Red de enmalle - Red de enmalle fija continental_Ageneiosus inermis;4;28;1,05;1,98
Puerto (Orocué)_Red de enmalle - Red de enmalle fija continental_Prochilodus mariae;1;3;0,5;1,41
Clarinetero_Atarraya - Atarraya_Ageneiosus inermis;2;37;0,51;0,95
Clarinetero_Atarraya - Atarraya_Brachyplatystoma juruense;1;8;2,51;3,06
Caño Lobo_Buceo - Buceo de caracol_Melongena melongena;83;1110;0,01;0,06
Barrio Abajo (Ciénaga)_Changa - Red de arrastre artesanal o changa_Xiphopenaeus kroyeri; ; ; ; 
Barrio Abajo (Ciénaga)_Changa - Red de arrastre artesanal o changa_Penaeus monodon;1;8;0,13;0,24
Barrio Abajo (Ciénaga)_Changa - Red de arrastre artesanal o changa_Penaeus schmitti;9;9;0,06;0,06
Barrio Abajo (Ciénaga)_Changa - Red de arrastre artesanal o changa_Hypanus guttatus;9;9;2,39;2,39
Puerto (Orocué)_Red de enmalle - Red de enmalle fija continental_Pseudoplatystoma metaense;1;18;2,35;8,28
Puerto (Orocué)_Red de enmalle - Red de enmalle fija continental_Colossoma macropomum;1;18;2,46;8,08
Bahía de Santa Marta_Línea de mano - Línea de mano fija marina_Caranx crysos;2;84;0,15;0,69
Barrio Abajo (Ciénaga)_Red de enmalle - Red de enmalle fija marina_Micropogonias furnieri;4;44;0,1;0,56
Barrio Abajo (Ciénaga)_Red de enmalle - Red de enmalle fija marina_Conodon nobilis;4;28;0,1;0,34
Caño Lobo_Buceo - Recolección manual de ostra_Crassostrea rhizophorae; ; ; ; 
Barrio Abajo (Ciénaga)_Red de enmalle - Red de enmalle fija marina_Sciades proops;1;19;0,56;2,5
Cabo de la Vela_Trampas o Nasas - Nasas de Peces_Lachnolaimus maximus;1;11;0,28;0,79
Cabo de la Vela_Trampas o Nasas - Nasas de Peces_Mycteroperca bonaci;1;9;0,51;1,38
Cabo de la Vela_Trampas o Nasas - Nasas de Peces_Haemulon bonariense;5;28;0,12;0,23
Cabo de la Vela_Trampas o Nasas - Nasas de Peces_Scarus guacamaia;3;16;0,25;0,92
Caño Lobo_Línea de mano - Línea de mano fija marina_Centropomus ensiferus;9;36;0,12;0,22
