SITIODESEMBARCO_METODO_ESPECIE;Cuartil_inf_NUMERO_DE_EJEMPLARES_hist;Cuartil_sup_NUMERO_DE_EJEMPLARES_hist;Cuartil_inf_kg_IND_hist;Cuartil_sup_kg_IND_hist
Betania - Naya_Palangre o Espinel - Palangre o espinel de fondo_Bagre pinnimaculatus; ; ; ; 
Betania - Naya_Palangre o Espinel - Palangre o espinel de fondo_Bagre panamensis; ; ; ; 
Puerto Cabuyaro_Palangre o Espinel - Palangre calandrio_Ageneiosus dentatus; ; ; ; 
Puerto Cabuyaro_Palangre o Espinel - Palangre calandrio_Brachyplatystoma rousseauxii; ; ; ; 
San Antonio de Padua_Línea de mano - Línea de mano fija continental_Ageneiosus pardalis;1;2;0,43;2,37
Puerto (Orocué)_Red de enmalle - Red de enmalle fija continental_Hemisorubim platyrhynchos; ; ; ; 
Berlín_Red de enmalle - Red de enmalle de deriva continental_Trachelyopterus insignis;1;2;0,27;0,31
Pesquera Aspabab_Red de enmalle - Red de enmalle de deriva marina_Centropomus armatus;2;2;0,25;0,25
Punta Bonita_Chinchorro marino - Chinchorro marino_Lobotes pacifica; ; ; ; 
Jurubirá_Palangre o Espinel - Palangre o espinel de fondo_Caranx caballus;1;7;0,15;0,5
Bazurto_Línea de mano - Línea de mano fija marina_Plagioscion magdalenae; ; ; ; 
Bazurto_Línea de mano - Línea de mano fija marina_Gerres cinereus; ; ; ; 
Bazurto_Red de enmalle - Red de enmalle fija marina_Oreochromis niloticus;6;10;0,22;0,52
El Porvenir_Atarraya - Atarraya_Elops smithi;2;2;0,34;0,34
Puerto Miraflores_Línea de mano - Línea de mano fija marina_Bagre panamensis;4;4;0,28;0,84
Miramar - Bahía Málaga_Red de enmalle - Red de enmalle fija marina_Parapsettus panamensis; ; ; ; 
La Punta - Firme Cifuentes_Red de enmalle - Red de enmalle camaronera_Sphyraena ensis; ; ; ; 
Tasajera La Playa_Red de enmalle - Red de enmalle fija marina_Xyrichtys novacula;6;20;0,19;0,23
Puerto Abajo (Dibulla)_Red de enmalle - Red de enmalle langostera_Centropomus undecimalis;1;1;4;4
Puerto principal (San Vicente del Caguán)_Palangre o Espinel - Palangre calandrio_Megaleporinus trifasciatus;3;3;0,4;0,4
Puerto principal (San Vicente del Caguán)_Palangre o Espinel - Palangre calandrio_Pimelodus blochii;4;4;0,25;0,25
Primera Ensenada_Línea de mano - Línea de mano fija marina_Cathorops mapale;79;194;0,21;0,23
Candelaria (Chimichagua)_Red de enmalle - Red de enmalle fija continental_Colossoma macropomum;2;6;1,28;2,03
La Tranca_Red de enmalle - Red de enmalle fija continental_Loricariichthys brunneus;1;8;0,1;0,22
Casco urbano (Puerto Escondido)_Red de enmalle - Red de enmalle fija marina_Priacanthus arenatus;4;19;0,12;0,21
Casco urbano (Puerto Escondido)_Red de enmalle - Red de enmalle fija marina_Lutjanus cyanopterus;1;1;1,52;1,98
Puerto del Pescado (San José Del Guaviare)_Red de enmalle - Red de enmalle fija continental_Platynematichthys notatus;1;1;7;7
Méjico_Atarraya - Atarraya_Pterygoplichthys pardalis;1;4;0,19;0,22
Morrosquillo_Atarraya - Atarraya_Bairdiella ronchus;5;8;0,19;0,21
Jurubirá_Palangre o Espinel - Palangre o espinel de fondo_Caranx melampygus;1;1;1,75;1,75
Puerto Bello_Red de enmalle - Red de enmalle fija continental_Cynopotamus magdalenae;4;19;0,19;0,38
Puerto Abajo (Dibulla)_Red de enmalle - Red de enmalle langostera_Chaetodipterus faber; ; ; ; 
Damaquiel_Red de enmalle - Red de enmalle fija marina_Lutjanus cyanopterus;2;2;1;1
Jodedor_Línea de mano - Línea de mano fija marina_Albula vulpes;19;19;0,32;0,32
Jodedor_Red de enmalle - Red de enmalle de deriva marina_Elops smithi;1;1;3;3
Guineal_Palangre o Espinel - Palangre o espinel de fondo_Caranx vinctus;2;2;0,25;0,25
Berlín_Red de enmalle - Red de enmalle fija continental_Pterygoplichthys pardalis;1;9;0,14;0,21
Villa Venecia_Red de enmalle - Red de enmalle fija continental_Cynopotamus atratoensis;10;31;0,09;0,14
Puerto La Candelaria_Red de enmalle - Red de enmalle fija continental_Isorineloricaria tenuicauda;1;6;0,2;0,38
Las Tenazas_Línea de mano - Línea de mano fija marina_Ocyurus chrysurus; ; ; ; 
Purricha_Palangre o Espinel - Palangre o espinel de fondo_Oligoplites altus;1;2;0,5;1
Sivirú_Red de enmalle - Red de enmalle fija marina_Caulolatilus affinis;1;3;0,34;0,49
Puerto Bello_Red de enmalle - Red de enmalle fija continental_Salminus affinis;1;3;0,47;2,39
La T_Trampas o Nasas - Nasas de Peces_Seriola zonata;4;5;0,41;0,5
Tagachí_Red de enmalle - Red de enmalle fija continental_Pimelodus sp. 2;1;1;0,98;0,98
Puerto Abajo (Dibulla)_Red de enmalle - Red de enmalle langostera_Sciades proops;1;1;2,5;2,5
Guineal_Palangre o Espinel - Palangre o espinel de fondo_Epinephelus analogus;2;2;0,25;0,25
Playa de Arusí_Línea de mano - Línea de mano fija marina_Cynoscion phoxocephalus;1;1;1;1
Sivirú_Palangre o Espinel - Palangre o espinel de fondo_Lutjanus argentiventris;1;5;0,41;1,7
Loma - San Sebastián_Red de enmalle - Red de enmalle fija continental_Salminus affinis;2;8;0,09;0,2
Muelle Principal (Puerto Leguízamo)_Red de enmalle - Red de enmalle fija continental_Rhaphiodon vulpinus; ; ; ; 
Casco urbano Roma_Red de enmalle - Red de enmalle fija continental_Pseudopimelodus atricaudus;1;1;0,25;0,25
Popoya Playa_Red de enmalle - Red de enmalle fija marina_Pagrus pagrus;5;5;0,26;0,26
Lomita Arena_Red de enmalle - Red de enmalle fija marina_Centropomus pectinatus;2;2;4;4
Damaquiel_Red de enmalle - Red de enmalle fija marina_Hemicaranx amblyrhynchus;125;206;0,17;0,17
Villa Fátima_Red de enmalle - Red de enmalle de encierro marina_Pseudupeneus maculatus; ; ; ; 
Villa Fátima_Red de enmalle - Red de enmalle de deriva marina_Lutjanus griseus; ; ; ; 
Mulatos_Palangre o Espinel - Palangre o espinel de superficie_Megalops atlanticus;1;1;21,25;38
La Tagua_Línea de mano - Línea de mano fija continental_Phractocephalus hemioliopterus;1;3;3,92;5,42
Marralú_Red de enmalle - Red de enmalle fija continental_Plagioscion magdalenae;1;1;0,44;0,44
Caño Lobo_Buceo - Buceo de caracol_Callinectes bocourti; ; ; ; 
Sempegua_Red de enmalle - Red de enmalle fija continental_Colossoma macropomum;1;1;0,27;1,11
Distribuidoras de Tumaco_Red de enmalle - Red de enmalle de deriva marina_Seriola rivoliana; ; ; ; 
Distribuidoras de Tumaco_Red de enmalle - Red de enmalle de deriva marina_Menticirrhus spp.; ; ; ; 
La Raya_Atarraya - Atarraya_Pangasianodon hypophthalmus;1;2;1,01;1,24
El Llanito_Trampas o Nasas - Nasas de Peces_Megaleporinus muyscorum;200;200;0,29;0,29
Berlín_Chinchorro continental - Chinchorro continental_Pterygoplichthys pardalis;1;8;0,14;0,19
Bazurto_Línea de mano - Línea de mano fija marina_Larimus breviceps; ; ; ; 
Purricha_Palangre o Espinel - Palangre o espinel de fondo_Diapterus brevirostris;2;10;0,31;0,48
Domingodó_Línea de mano - Línea de mano fija continental_Megaleporinus muyscorum;2;2;0,55;0,55
Puerto Chucha_Red de enmalle - Red de enmalle fija marina_Brycon sinuensis;1;1;2,1;2,1
Betania - Naya_Palangre o Espinel - Palangre o espinel de fondo_Lutjanus guttatus; ; ; ; 
Betania - Naya_Palangre o Espinel - Palangre o espinel de fondo_Parapsettus panamensis; ; ; ; 
Betania - Naya_Palangre o Espinel - Palangre o espinel de fondo_Centropomus armatus; ; ; ; 
Betania - Naya_Palangre o Espinel - Palangre o espinel de fondo_Trachinotus kennedyi; ; ; ; 
Betania - Naya_Palangre o Espinel - Palangre o espinel de fondo_Anisotremus spp.; ; ; ; 
Betania - Naya_Palangre o Espinel - Palangre o espinel de fondo_Notarius troschelii; ; ; ; 
Guataquí_Trampas o Nasas - Nasas de Peces_Ichthyoelephas longirostris;1;1;0,99;1
Guataquí_Trampas o Nasas - Nasas de Peces_Chaetostoma brevilabiatum;9;9;0,17;0,17
Guataquí_Trampas o Nasas - Nasas de Peces_Brycon moorei;1;1;0,52;0,99
Berlín_Red de enmalle - Red de enmalle de deriva continental_Pterygoplichthys pardalis;1;1;0,15;0,15
Puerto Principal (Leticia)_Red de enmalle - Red de enmalle fija continental_Myloplus rubripinnis;88;88;0,22;0,22
Cupica_Línea de mano - Línea de mano fija marina_Megalops atlanticus;1;1;23;23
Barrio Pambelé_Red de enmalle - Red de enmalle fija marina_Megalops atlanticus;1;3;2,5;11,75
Puerto Los Córdobas_Red de enmalle - Red de enmalle fija marina_Trachinotus carolinus;1;1;2;2
Puerto Miraflores_Palangre o Espinel - Palangre o espinel de fondo_Hemanthias peruanus;2;2;0,25;0,25
Casco Urbano (Arauca)_Línea de mano - Línea de mano fija continental_Sorubim lima;3;6;0,41;0,56
Casco Urbano (Arauca)_Línea de mano - Línea de mano fija continental_Ageneiosus inermis;2;2;0,9;0,9
Pesquera Aspabab_Red de enmalle - Red de enmalle camaronera_Caranx vinctus;10;10;0,45;0,45
Virudó_Palangre o Espinel - Palangre o espinel de fondo_Lutjanus novemfasciatus;1;2;1,54;16,45
Virudó_Línea de mano - Línea de mano fija marina_Bairdiella ensifera;1;1;3,5;3,5
Muelle La Samaritana_Red de enmalle - Red de enmalle de deriva marina_Centropomus medius; ; ; ; 
Desembarcadero (Juradó)_Red de enmalle - Red de enmalle fija marina_Caranx melampygus;10;10;0,7;0,7
Muelle Las Flores_Red de enmalle - Red de enmalle de deriva marina_Centropomus robalito; ; ; ; 
Desembarcadero (Juradó)_Línea de mano - Línea de mano fija marina_Eucinostomus spp.;11;11;0,36;0,36
Muelle La Samaritana_Red de enmalle - Red de enmalle de deriva marina_Bagre pinnimaculatus; ; ; ; 
Muelle La Samaritana_Red de enmalle - Red de enmalle de deriva marina_Epinephelus spp.; ; ; ; 
Muelle La Samaritana_Red de enmalle - Red de enmalle de deriva marina_Lobotes pacifica; ; ; ; 
Muelle La Samaritana_Red de enmalle - Red de enmalle de deriva marina_Notarius troschelii; ; ; ; 
La Plata - Bahía Málaga_Palangre o Espinel - Palangre o espinel de fondo_Menticirrhus panamensis; ; ; ; 
Bocas del Atrato_Flecha - Flecha_Mugil liza;4;4;1,57;1,57
Ica-Copipa_Red de enmalle - Red de enmalle fija marina_Oligoplites saliens;4;13;0,29;0,64
Bahía de Cispatá_Chinchorro marino - Chinchorro marino_Archosargus rhomboidalis;6;6;0,17;0,17
Taganga_Red de enmalle - Red de enmalle fija marina_Eugerres plumieri; ; ; ; 
Lomita Arena_Red de enmalle - Red de enmalle fija marina_Lutjanus synagris;1;1;1,02;1,47
Puerto Bello_Red de enmalle - Red de enmalle fija continental_Sternopygus aequilabiatus;2;7;0,35;0,94
Cupica_Línea de mano - Línea de mano fija marina_Lutjanus inermis;4;13;0,24;0,5
Tribugá_Línea de mano - Línea de mano fija marina_Oligoplites altus;1;1;0,75;0,75
Tribugá_Línea de mano - Línea de mano fija marina_Sufflamen verres;1;2;0,79;1,57
Codis_Línea de mano - Línea de mano fija marina_Chloroscombrus chrysurus;13;16;0,11;0,26
Corozal_Red de enmalle - Red de enmalle fija marina_Mugil cephalus;33;52;0,46;0,56
Charambirá_Línea de mano - Línea de mano fija marina_Lutjanus colorado;8;8;0,62;0,62
Charambirá_Línea de mano - Línea de mano fija marina_Bagre pinnimaculatus;1;1;3;3
Dotenedó_Recolección manual - Recolección manual de piangua_Anadara tuberculosa; ; ; ; 
Dotenedó_Red de enmalle - Red de enmalle fija marina_Macrodon mordax;4;4;0,75;0,75
Dotenedó_Recolección manual - Recolección manual de piangua_Anadara similis; ; ; ; 
Puerto Serviez_Red de enmalle - Red de enmalle de deriva continental_Salminus affinis;24;24;0,48;0,48
Jurubirá_Palangre o Espinel - Palangre o espinel de fondo_Cyclopsetta querna;1;1;1;1
Desembarcadero (Juradó)_Red de enmalle - Red de enmalle fija marina_Centropumus spp.;17;17;1,56;1,56
Casco Urbano (San Juan de Urabá)_Red de enmalle - Red de enmalle fija marina_Chloroscombrus chrysurus;550;550;0,03;0,03
Guataquí_Red de enmalle - Red de enmalle fija continental_Sorubim cuspicaudus;1;1;1,01;1,01
Paujil_Línea de mano - Línea de mano fija continental_Serrasalmus rhombeus; ; ; ; 
Bocanegra_Red de enmalle - Red de enmalle fija marina_Trachinotus carolinus;2;2;1,27;1,27
Muelle Principal (Puerto Leguízamo)_Línea de mano - Línea de mano fija continental_Prochilodus nigricans; ; ; ; 
Lomita Arena_Línea de mano - Línea de mano fija marina_Lutjanus griseus;12;12;0,46;0,46
Lomita Arena_Línea de mano - Línea de mano fija marina_Rachycentron canadum;1;1;3,1;3,1
Lomita Arena_Línea de mano - Línea de mano fija marina_Lutjanus analis;1;1;1;1
Puerto Barrio El Progreso_Atarraya - Atarraya rastra_Brycon moorei;1;1;2;2
Isla Fuerte_Línea de mano - Línea de mano fija marina_Haemulon parra;3;3;0,3;0,3
Clarinetero_Red de enmalle - Red de enmalle fija continental_Leiarius marmoratus;1;1;1,9;1,9
Bahía de Cispatá_Atarraya - Atarraya_Batrachoides surinamensis;1;1;1,5;1,5
Bazurto_Línea de mano - Línea de mano fija marina_Holocentrus adscensionis; ; ; ; 
Cangrejito_Red de enmalle - Red de enmalle fija marina_Caranx latus; ; ; ; 
Puerto Rico [Meta]_Red de enmalle - Red de enmalle de deriva continental_Platynematichthys notatus;1;1;6;6
Rincón del Mar_Línea de mano - Línea de mano fija marina_Scomberomorus cavalla;3;15;0,61;2,18
Chontal_Red de cerco - Red de cerco artesanal o ruche_Centropomus medius; ; ; ; 
Playa de Arusí_Línea de mano - Línea de mano fija marina_Rhencus panamensis;1;2;0,45;0,72
Las Delicias_Red de enmalle - Red de enmalle de encierro marina_Umbrina broussonnetii; ; ; ; 
Casco Urbano (Arauca)_Chinchorro continental - Chinchorro continental_Pterygoplichthys multiradiatus; ; ; ; 
Manaure Abajo_Red de enmalle - Red de enmalle de encierro marina_Diapterus auratus; ; ; ; 
Aparca_Atarraya - Atarraya_Schizodon fasciatus;12;12;0,38;0,38
El Muelle (Puerto López)_Palangre o Espinel - Palangre calandrio_Oxydoras sifontesi;1;1;3,25;3,25
Las Balsas_Palangre o Espinel - Palangre calandrio_Hydrolycus armatus;1;4;2,65;4,77
Las Balsas_Palangre o Espinel - Palangre calandrio_Piaractus orinoquensis;1;4;2,13;3,9
Yaguará_Red de enmalle - Red de enmalle fija continental_Astronotus ocellatus;2;4;0,17;0,25
Pesqueras - Pueblo Nuevo_Red de enmalle - Red de enmalle de deriva marina_Bagre pinnimaculatus; ; ; ; 
Pesqueras - Pueblo Nuevo_Red de enmalle - Red de enmalle de deriva marina_Menticirrhus spp.; ; ; ; 
Pesqueras - Pueblo Nuevo_Red de enmalle - Red de enmalle de deriva marina_Lutjanus guttatus; ; ; ; 
Pesqueras - Pueblo Nuevo_Red de enmalle - Red de enmalle de deriva marina_Cynoscion phoxocephalus; ; ; ; 
Belén (San Marcos)_Red de enmalle - Red de enmalle fija continental_Piaractus brachypomus;1;2;0,45;0,5
Bazurto_Línea de mano - Línea de mano fija marina_Selene setapinnis; ; ; ; 
Méjico_Red de enmalle - Red de enmalle fija continental_Pimelodus grosskopfii;1;1;0,46;0,46
Concepción - Tacamocho_Red de enmalle - Red de enmalle fija continental_Sternopygus aequilabiatus;5;9;0,35;0,48
Bazán La Bocana_Red de enmalle - Red de enmalle fija marina_Lobotes pacifica; ; ; ; 
Cangrejito_Línea de mano - Línea de mano fija marina_Archosargus rhomboidalis; ; ; ; 
Camarones_Trampas o Nasas - Nasas de Peces_Scarus coeruleus; ; ; ; 
Guataquí_Red de enmalle - Red de enmalle fija continental_Panaque cochliodon;1;1;0,3;0,3
Camarones_Trampas o Nasas - Nasas de Peces_Hyporthodus nigritus; ; ; ; 
Méjico_Atarraya - Atarraya_Pimelodus grosskopfii;2;2;0,32;0,32
Morrosquillo_Línea de mano - Línea de mano correteo curricán o trolling_Lutjanus purpureus;1;3;1,7;3,29
Piedras Blancas_Buceo - Buceo marino mixto_Mycteroperca tigris;6;6;0,67;0,67
Orpua_Línea de mano - Línea de mano fija marina_Lutjanus spp.;4;16;0,34;0,94
Orpua_Línea de mano - Línea de mano fija marina_Diapterus brevirostris;7;7;0,43;0,43
Puerto Pozuelo - La Rinconada_Red de enmalle - Red de enmalle fija continental_Brycon moorei;3;4;0,13;0,28
Clarinetero_Línea de mano - Línea de mano fija continental_Piaractus orinoquensis;1;1;7,8;7,8
Codis_Línea de mano - Línea de mano fija marina_Opisthonema oglinum;6;6;0,05;0,05
Las Tenazas_Trampas o Nasas - Nasas de Peces_Elagatis bipinnulata; ; ; ; 
Puerto Wilches_Chinchorro continental - Chinchorra_Pimelodus yuma;276;919;0,06;0,09
Desembarcadero (Juradó)_Red de enmalle - Red de enmalle fija marina_Selene brevoortii;22;30;0,43;0,59
San Alejandro_Línea de mano - Línea de mano fija continental_Pseudopimelodus sp. 1;1;6;0,63;3,78
Puerto (Orocué)_Red de enmalle - Red de enmalle fija continental_Brycon whitei; ; ; ; 
Lomita Arena_Red de enmalle - Red de enmalle fija marina_Sciades proops;1;6;1,76;4,46
Lomita Arena_Palangre o Espinel - Palangre o espinel de superficie_Sciades proops;2;4;2;4
Pomeño_Red de enmalle - Red de enmalle de deriva marina_Ariopsis seemanni;3;26;0,12;0,27
Puerto Boyacá_Palangre o Espinel - Palangre calandrio_Panaque cochliodon;2;2;1,75;1,75
Morrosquillo_Atarraya - Atarraya_Haemulon plumieri;6;6;0,1;0,1
Isla Fuerte_Red de enmalle - Red de enmalle fija marina_Lutjanus griseus;4;4;0,5;0,5
Tribugá_Arpón - Arpón_Rhencus panamensis;10;10;0,5;0,5
Tribugá_Arpón - Arpón_Centropomus medius;11;11;0,36;0,36
Tribugá_Arpón - Arpón_Lutjanus guttatus;7;7;0,36;0,36
Puerto Chucha_Palangre o Espinel - Palangre o espinel de fondo_Ariopsis canteri;23;119;0,28;0,46
Paujil_Línea de mano - Línea de mano fija continental_Pterodoras rivasi; ; ; ; 
Arrimadero La Unión_Línea de mano - Línea de mano fija marina_Tylosurus pacificus;1;17;1,25;3,6
Puerto (Arauquita)_Atarraya - Atarraya_Zungaro zungaro;1;2;2,65;5,26
Playa Nueva_Palangre o Espinel - Palangre o espinel de fondo_Cynoponticus coniceps; ; ; ; 
Barrio Abajo (Ciénaga)_Palangre o Espinel - Palangre o espinel de fondo_Micropogonias furnieri;1;4;0,26;0,49
Barrio Abajo (Ciénaga)_Palangre o Espinel - Palangre o espinel de fondo_Caranx crysos;1;1;1;1
Barrio Pambelé_Red de enmalle - Red de enmalle fija marina_Caranx hippos;1;3;1,75;6,07
Barrio Pambelé_Red de enmalle - Red de enmalle fija marina_Sciades proops;5;50;0,83;2,18
Puerto de las Canoas (Puerto Berrío)_Red de enmalle - Red de enmalle de deriva continental_Brycon rubricauda;13;13;0,69;0,69
Playa Totumo_Palangre o Espinel - Palangre o espinel de fondo_Bagre filamentosus;11;100;0,36;0,7
Playa Totumo_Palangre o Espinel - Palangre o espinel de fondo_Sphyraena guachancho;17;174;0,16;0,23
Cartagena del Chairá_Línea de mano - Línea de mano fija continental_Platynematichthys notatus;1;1;1,01;1,28
Bahía de Cispatá_Línea de mano - Línea de mano fija marina_Panulirus argus;1;2;0,9;1,42
Bahía de Cispatá_Buceo - Buceo de peces_Caranx hippos;1;1;4;4
Bahía de Cispatá_Buceo - Buceo de peces_Caranx crysos;14;46;0,14;0,19
Puerto Abajo (Dibulla)_Red de enmalle - Red de enmalle langostera_Lutjanus analis;1;1;3,5;3,5
Puerto Abajo (Dibulla)_Red de enmalle - Red de enmalle langostera_Panulirus argus;1;1;1;1
Casco urbano (Puerto Escondido)_Red de enmalle - Red de enmalle fija marina_Sparisoma rubripinne;5;9;0,15;0,18
Casco urbano (Puerto Escondido)_Red de enmalle - Red de enmalle fija marina_Equetus lanceolatus;2;2;0,1;0,1
Casco urbano (Puerto Escondido)_Red de enmalle - Red de enmalle fija marina_Fistularia petimba;1;1;1;1
Barrio Pambelé_Red de enmalle - Red de enmalle fija marina_Trachinotus carolinus;2;2;1,25;1,25
Puerto (Orocué)_Palangre o Espinel - Palangre calandrio_Phractocephalus hemioliopterus;4;4;4,2;4,2
Punta Ardita_Línea de mano - Línea de mano fija marina_Euthynnus lineatus;2;10;1,09;3,7
Cartagena del Chairá_Línea de mano - Línea de mano fija continental_Leiarius marmoratus;2;4;3,78;4,59
La Mata_Red de enmalle - Red de enmalle fija continental_Cyphocharax magdalenae;19;68;0,06;0,07
Purricha_Palangre o Espinel - Palangre o espinel de fondo_Epinephelus spp.;1;2;1,19;36
Taganga_Buceo - Buceo de peces_Megalops atlanticus; ; ; ; 
Guacamayo_Palangre o Espinel - Palangre calandrio_Sternopygus aequilabiatus;7;7;0,51;0,51
Puerto Rico [Meta]_Red de enmalle - Red de enmalle de deriva continental_Pterodoras rivasi;1;1;1,8;1,8
Orpua_Red de enmalle - Red de enmalle fija marina_Kyphosus ocyurus;1;8;0,34;0,71
Orpua_Red de enmalle - Red de enmalle fija marina_Mugil cephalus;10;20;0,45;0,47
Milagros de la Mar_Red de enmalle - Red de enmalle de deriva marina_Kyphosus ocyurus;3;3;0,33;0,33
Sapzurro_Buceo - Buceo de peces_Conodon nobilis;5;5;0,24;0,24
Santuario_Palangre o Espinel - Palangre calandrio_Pinirampus pirinampu; ; ; ; 
Playa de Arusí_Línea de mano - Línea de mano fija marina_Trachinotus rhodopus;1;1;1;1
Playa de Arusí_Línea de mano - Línea de mano correteo curricán o trolling_Caranx sexfasciatus;2;28;0,31;1,9
Barrio Chino_Atarraya - Atarraya_Brycon moorei;1;1;0,7;0,7
Lomita Arena_Red de enmalle - Red de enmalle fija marina_Kyphosus sectatrix;1;43;0,54;1,68
Lomita Arena_Red de enmalle - Red de enmalle fija marina_Octopus sp.;2;2;0,65;0,65
Buenavista (La Dorada)_Red de enmalle - Red de enmalle de deriva continental_Chaetostoma brevilabiatum;1;1;0,3;0,3
Chapinero_Línea de mano - Línea de mano fija continental_Centropomus undecimalis;1;1;2;2
Chapinero_Línea de mano - Línea de mano fija continental_Colossoma macropomum;1;1;3;3
Puerto Los Córdobas_Red de enmalle - Red de enmalle de deriva marina_Panulirus argus;1;11;0,27;0,92
Santa Rosa_Red de enmalle - Red de enmalle de deriva marina_Sphyraena barracuda;1;1;3;3
Playa Nueva_Línea de mano - Línea de mano fija marina_Notarius troschelii; ; ; ; 
Barrio Abajo (Ciénaga)_Palangre o Espinel - Palangre o espinel de fondo_Haemulon plumieri; ; ; ; 
Tasajera La Playa_Red de enmalle - Red de enmalle fija marina_Oligoplites palometa;1;3;0,42;1,69
Charambirá_Red de enmalle - Red de enmalle de deriva marina_Caranx caballus;12;26;0,18;0,22
Betania - Naya_Palangre o Espinel - Palangre o espinel de fondo_Sciades dowii; ; ; ; 
Betania - Naya_Palangre o Espinel - Palangre o espinel de fondo_Cynoscion albus; ; ; ; 
Puerto Abajo (Dibulla)_Red de enmalle - Red de enmalle fija marina_Seriola rivoliana;2;2;0,5;0,5
Puerto Abajo (Dibulla)_Red de enmalle - Red de enmalle fija marina_Calamus penna; ; ; ; 
Campo alegre_Red de enmalle - Red de enmalle fija continental_Rhamdia guatemalensis;9;111;0,08;0,14
Puerto Miraflores_Línea de mano - Línea de mano fija marina_Tylosurus pacificus;3;9;2,44;3,28
Las Delicias_Red de enmalle - Red de enmalle de encierro marina_Cathorops wayuu; ; ; ; 
Puerto Abajo (Dibulla)_Red de enmalle - Red de enmalle fija marina_Albula vulpes; ; ; ; 
Purricha_Red de enmalle - Red de enmalle fija marina_Notarius spp.;3;3;0,33;0,33
Laguna Colorada_Palangre o Espinel - Palangre calandrio_Hoplias curupira;1;1;1;1
Taganga_Buceo - Buceo de peces_Istiophorus platypterus; ; ; ; 
El Pájaro_Red de enmalle - Red de enmalle de deriva marina_Mycteroperca bonaci;1;3;1,45;3,27
Dotenedó_Línea de mano - Línea de mano fija marina_Lutjanus jordani;8;8;0,38;0,38
Caño Lobo_Trampas o Nasas - Nasa de jaibas_Melongena melongena; ; ; ; 
Pomeño_Red de enmalle - Red de enmalle fija marina_Parapsettus panamensis;11;11;0,32;0,32
Cartagena del Chairá_Línea de mano - Línea de mano fija continental_Calophysus macropterus;1;2;1,11;1,24
Barrio Abajo (Ciénaga)_Palangre o Espinel - Palangre o espinel de fondo_Panulirus argus;1;1;1,25;1,25
Purricha_Red de enmalle - Red de enmalle fija marina_Nebris occidentalis;4;7;0,25;0,37
Purricha_Red de enmalle - Red de enmalle fija marina_Kyphosus ocyurus;2;2;0,5;0,5
Purricha_Red de enmalle - Red de enmalle fija marina_Bairdiella ensifera;3;4;0,17;0,25
Purricha_Red de enmalle - Red de enmalle fija marina_Cynoscion phoxocephalus;2;6;0,35;0,85
Purricha_Red de enmalle - Red de enmalle fija marina_Bagre panamensis;6;18;0,23;0,66
San Miguel (Puerto Gaitán)_Red de enmalle - Red de enmalle fija continental_Potamorhina altamazonica;4;7;0,6;0,81
Agropez_Línea de mano - Línea de mano fija marina_Centropomus pectinatus; ; ; ; 
Barrio Santa Lucía_Red de enmalle - Red de enmalle fija marina_Caranx lugubris;1;1;6;6
Nueva Colonia_Red de enmalle - Red de enmalle fija marina_Lutjanus jocu;17;17;0,29;0,29
Puerto Abajo (Dibulla)_Red de enmalle - Red de enmalle fija marina_Orthopristis ruber; ; ; ; 
Puerto Abajo (Dibulla)_Red de enmalle - Red de enmalle fija marina_Rachycentron canadum;1;1;1;1
Puerto Abajo (Dibulla)_Red de enmalle - Red de enmalle langostera_Notarius grandicassis; ; ; ; 
Bahía de Cispatá_Red de enmalle - Red de enmalle fija marina_Lutjanus analis;1;5;0,42;0,61
Puerto Simití_Atarraya - Atarraya_Caquetaia kraussii;14;14;0,5;0,5
La T_Red de enmalle - Red de enmalle de encierro marina_Mycteroperca bonaci;1;1;22,45;102,55
Puerto Chucha_Red de enmalle - Red de enmalle de encierro marina_Eleotris pisonis;3;3;0,25;0,25
Bocanegra_Atarraya - Atarraya_Centropomus pectinatus;3;5;0,09;0,1
Puerto del Pescado (San José Del Guaviare)_Palangre o Espinel - Palangre calandrio_Ageneiosus inermis;1;2;1,21;1,29
Guineal_Red de enmalle - Red de enmalle de encierro marina_Penaeus occidentalis;16;27;0,03;0,04
San Nicolás (Nechí)_Palangre o Espinel - Palangre calandrio_Piaractus brachypomus;2;2;3,35;3,35
Nueva Colonia_Flecha - Flecha_Strongylura timucu;5;17;0,58;2,52
La Punta - Firme Cifuentes_Palangre o Espinel - Palangre o espinel de fondo_Epinephelus analogus; ; ; ; 
Río San Miguel_Atarraya - Atarraya_Plagioscion squamosissimus;1;1;0,6;0,6
Puerto Arriba (Dibulla)_Red de enmalle - Red de enmalle fija marina_Ariidae; ; ; ; 
Puerto del Pescado (San José Del Guaviare)_Palangre o Espinel - Palangre calandrio_Sorubimichthys planiceps;1;1;2,37;3,63
El Malecón (Neiva)_Atarraya - Atarraya_Rhamdia guatemalensis;1;3;0,25;0,55
Lomita Arena_Palangre o Espinel - Palangre o espinel de superficie_Bagre bagre;9;9;0,81;0,81
Guazo_Palangre o Espinel - Palangre calandrio_Oreochromis niloticus;1;1;0,18;0,61
Las Delicias_Palangre o Espinel - Palangre o espinel de fondo_Panulirus argus;1;1;2,5;2,5
Puerto Abajo (Dibulla)_Red de enmalle - Red de enmalle fija marina_Notarius grandicassis;2;5;1,41;1,5
Puerto Abajo (Dibulla)_Red de enmalle - Red de enmalle fija marina_Balistes capriscus; ; ; ; 
