SITIODESEMBARCO_METODO_ESPECIE;Cuartil_inf_kg_IND_hist;Cuartil_sup_kg_IND_hist
Cabo de la Vela_ Red de enmalle fija marina_Archosargus rhomboidalis;0,145511108;0,556999997
Cabo de la Vela_ Red de enmalle fija marina_Lachnolaimus maximus;0,300000012;1,185000026
Cabo de la Vela_ Red de enmalle fija marina_Menticirrhus americanus;0,513;0,746999991
El Muelle (Puerto López)_ Red de enmalle fija continental_Prochilodus mariae;0,420550924;0,75
El Muelle (Puerto López)_ Red de enmalle fija continental_Pterygoplichthys multiradiatus;0,28625;0,428030303
El Muelle (Puerto López)_ Red de enmalle fija continental_Pygocentrus cariba;0,321428571;0,666666667
El Muelle (Puerto López)_ Red de enmalle fija continental_Megaleporinus sp. 1;0,634999983;0,800000012
El Muelle (Puerto López)_ Red de enmalle fija continental_Piaractus orinoquensis;1,991666667;4,7
Caño Lobo_ Red de enmalle fija marina_Mugil incilis;0,103448276;0,15
Caño Lobo_ Red de enmalle fija marina_Centropomus undecimalis;0,166666667;1,2
Cabo de la Vela_ Red de enmalle fija marina_Chloroscombrus chrysurus;0,106673611;0,24500001
El Ferry_ Red de enmalle fija continental ciénaga_Prochilodus magdalenae;0,133095936;0,476470611
El Ferry_ Red de enmalle fija continental ciénaga_Megaleporinus muyscorum;0,126315789;0,224999994
Las Balsas_ Red de enmalle fija continental_Pimelodus blochii;0,12890625;0,13745731
Las Balsas_ Red de enmalle fija continental_Sorubim lima;0,237971698;0,31268797
Las Balsas_ Red de enmalle fija continental_Hemisorubim platyrhynchos;0,228896104;0,25465368
Caño Lobo_ Red de enmalle fija marina_Cathorops mapale;0,1;0,152133331
Caño Lobo_ Línea de mano fija marina_Eugerres plumieri;0,115384615;0,625
Caño Lobo_ Palangre o espinel de fondo_Ariopsis canteri;0,31;0,666666667
Caño Lobo_ Palangre o espinel de fondo_Hypanus guttatus;2,225;10,55
Puerto Amor_ Red de enmalle fija continental_Colossoma macropomum;0,139368417;2,809999943
Puerto Arriba (Dibulla)_ Red de enmalle de encierro marina_Tylosurus acus;0,296078431;0,9875
Puerto Arriba (Dibulla)_ Red de enmalle de encierro marina_Caranx hippos;0,153846154;6,960000038
Sempegua_ Red de enmalle fija continental ciénaga_Prochilodus magdalenae;0,125;0,353370098
Sempegua_ Red de enmalle fija continental ciénaga_Plagioscion magdalenae;0,142857143;0,695833333
Sempegua_ Red de enmalle fija continental ciénaga_Megaleporinus muyscorum;0,131578947;0,240285723
Puerto Franco_ Red de enmalle fija continental_Prochilodus magdalenae;0,193235778;0,566791683
Puerto Arriba (Dibulla)_ Red de enmalle de encierro marina_Trachinotus carolinus;0,333333333;2,75
Puerto Arriba (Dibulla)_ Red de enmalle de encierro marina_Chloroscombrus chrysurus;0,136666667;0,209285714
Sempegua_ Red de enmalle fija continental ciénaga_Cynopotamus magdalenae;0,125;0,166666667
Puerto Rico [Meta]_ Palangre calandrio_Pseudoplatystoma orinocoense;3,017000065;8,515000057
Puerto Rico [Meta]_ Palangre calandrio_Ageneiosus inermis;0,699999988;1,889999974
El Muelle (Puerto López)_ Red de enmalle fija continental_Pseudoplatystoma metaense;2,4625;11,6
Puerto Rico [Meta]_ Palangre calandrio_Plagioscion squamosissimus;1,635000032;3,099999905
Puerto Rico [Meta]_ Palangre calandrio_Hemisorubim platyrhynchos;0,5;0,5
Puerto Rico [Meta]_ Palangre calandrio_Brachyplatystoma vaillantii;0,977380974;2,074999928
Puerto Rico [Meta]_ Palangre calandrio_Brycon amazonicus;0,53956042;1,560000014
Caño Lobo_ Buceo de peces_Centropomus undecimalis;0,393333333;1,9
Caño Lobo_ Buceo de peces_Epinephelus itajara;1;4
Caño Lobo_ Buceo de peces_Ariopsis canteri;0,75;0,75
Puerto El Waffe marino_ Red de enmalle fija marina_Mugil incilis;0,230769231;0,349181753
Puerto El Waffe marino_ Red de enmalle fija marina_Bagre filamentosus;0,188679245;0,2
Puerto El Waffe marino_ Red de enmalle fija marina_Callinectes bocourti;0,214285714;0,304347826
Puerto El Waffe marino_ Red de enmalle fija marina_Centropomus ensiferus;0,1875;0,2
Puerto Amor_ Red de enmalle fija continental_Prochilodus magdalenae;0,128571425;0,449999988
Las Balsas_ Red de enmalle fija continental_Zungaro zungaro;18,45;38
Santa Rosa_ Red de enmalle de deriva marina_Archosargus rhomboidalis;0,173913043;0,227272727
Santa Rosa_ Red de enmalle de deriva marina_Haemulon plumieri;0,175438596;0,24
Santa Rosa_ Red de enmalle de deriva marina_Chloroscombrus chrysurus;0,166666667;0,208333333
Santa Rosa_ Red de enmalle de deriva marina_Bagre filamentosus;0,3;0,4
Caño Lobo_ Buceo de peces_Eugerres plumieri;0,159454545;0,8
Santa Rosa_ Red de enmalle de deriva marina_Scomberomorus brasiliensis;0,6;2,5
Santa Rosa_ Red de enmalle de deriva marina_Lutjanus analis;0,3;0,416666667
Santa Rosa_ Red de enmalle de deriva marina_Haemulon bonariense;0,186046512;0,240740741
Bellavista_ Chinchorro de jala playa_Caranx crysos;0,120000005;0,379000014
Puerto Arriba (Dibulla)_ Red de enmalle de encierro marina_Euthynnus alletteratus;0,486486486;1,3
Santa Rosa_ Red de enmalle de deriva marina_Caranx crysos;0,210526316;0,267857143
Santa Rosa_ Red de enmalle de deriva marina_Sparisoma viride;0,263157895;0,357142857
El Ferry_ Red de enmalle fija continental ciénaga_Curimata mivartii;0,068926332;0,150227279
El Ferry_ Red de enmalle fija continental ciénaga_Caquetaia kraussii;0,069124668;0,11548077
Bellavista_ Chinchorro de jala playa_Opisthonema oglinum;0,049545112;0,111761901
Bellavista_ Chinchorro de jala playa_Sphyraena guachancho;0,251749998;0,864999989
Santa Rosa_ Buceo marino mixto_Panulirus argus;0,238095238;0,5
Puerto Franco_ Red de enmalle fija continental_Megaleporinus muyscorum;0,173333327;0,37249999
Bellavista_ Chinchorro de jala playa_Elops smithi;0,143499998;1,06000002
Santa Rosa_ Buceo marino mixto_Lachnolaimus maximus;2;3
Bellavista_ Línea de mano correteo curricán o trolling_Euthynnus alletteratus;0,177349998;1,154999979
Tajamar Occidental_ Red de enmalle de deriva marina_Caranx crysos;0,247139683;0,554034858
Sempegua_ Atarraya_Oreochromis niloticus;0,183750004;0,364976198
Puerto El Waffe marino_ Red de enmalle fija marina_Bairdiella ronchus;0,173913043;0,194444444
La Playa (El Banco)_ Red de enmalle de deriva continental_Colossoma macropomum;5,4;15,8
Tajamar Occidental_ Red de enmalle de deriva marina_Macrodon ancylodon;0,227287391;0,28882352
Puerto Amor_ Red de enmalle fija continental_Trichopodus pectoralis;0,090000004;0,164423546
Puerto Amor_ Red de enmalle fija continental_Hoplias malabaricus;0,159999996;0,346100008
Puerto Amor_ Red de enmalle fija continental_Caquetaia kraussii;0,075000003;0,140000001
Tajamar Occidental_ Red de enmalle de deriva marina_Sciades proops;1,659285757;7,400000095
Santropel - San Sebastián_ Red de enmalle fija continental_Oreochromis niloticus;0,206111113;0,31583333
Concepción - Tacamocho_ Chinchorra_Sorubim cuspicaudus;0,316416663;1,299999952
Concepción - Tacamocho_ Chinchorra_Pseudoplatystoma magdaleniatum;0,599999973;5,699999809
Concepción - Tacamocho_ Chinchorra_Megalops atlanticus;0,699999988;2,799999952
Concepción - Tacamocho_ Chinchorra_Pimelodus grosskopfii;0,220000007;0,315357145
Concepción - Tacamocho_ Chinchorra_Plagioscion magdalenae;0,3;1,980000019
Tajamar Occidental_ Línea de mano cometa_Sciades proops;1,236874962;4,599999905
Bellavista_ Línea de mano correteo curricán o trolling_Elagatis bipinnulata;0,448999995;1,006363661
Bellavista_ Línea de mano correteo curricán o trolling_Caranx crysos;0,171428578;0,379166683
Caño Grande_ Red de enmalle fija continental_Centropomus ensiferus;0,09;0,352000004
La Playa (El Banco)_ Red de enmalle de deriva continental_Sorubim cuspicaudus;0,600000024;1,25
Pantuuchitu_ Red de enmalle fija marina_Panulirus argus;0,2;0,600000024
Tajamar Occidental_ Línea de mano cometa_Megalops atlanticus;2,650000095;7,015000033
Pantuuchitu_ Línea de mano fija marina_Archosargus rhomboidalis;0,202083331;0,352083345
Pantuuchitu_ Línea de mano fija marina_Caranx crysos;0,220333337;0,25812499
Pantuuchitu_ Línea de mano fija marina_Haemulon plumieri;0,133999996;0,329999998
El Ferry_ Red de enmalle fija continental río_Pseudoplatystoma magdaleniatum;0,233333329;1,5
Tajamar Occidental_ Red de enmalle de deriva marina_Trichiurus lepturus;0,460747656;0,864705871
Puerto Franco_ Red de enmalle fija continental_Cyphocharax magdalenae;0,07394331;0,092865079
Bellavista_ Línea de mano correteo curricán o trolling_Thunnus alalunga;0,276973692;0,914999992
Guazo_ Red de enmalle fija continental_Prochilodus magdalenae;0,139999997;0,50571428
Pantuuchitu_ Red de enmalle fija marina_Lachnolaimus maximus;0,309000003;1,354999965
Pantuuchitu_ Red de enmalle fija marina_Lutjanus analis;0,200000003;1,100000024
