SITIODESEMBARCO_METODO_ESPECIE;Cuartil_inf_VALOR_Hist;Cuartil_sup_VALOR_Hist
Puerto Montecristo_Atarraya - Atarraya_Prochilodus magdalenae;7825;88775
Puerto Montecristo_Atarraya - Atarraya_Plagioscion magdalenae;5195;53295
Puerto Montecristo_Atarraya - Atarraya_Oreochromis niloticus;13580;195290
Puerto Montecristo_Atarraya - Atarraya_Sorubim cuspicaudus;4080;51830
Playa Totumo_Red de enmalle - Red de enmalle fija marina_Sphyraena guachancho;36500;281300
Playa Totumo_Red de enmalle - Red de enmalle fija marina_Scomberomorus brasiliensis;23000;341000
Playa Totumo_Red de enmalle - Red de enmalle fija marina_Conodon nobilis;62400;180000
Puerto Montecristo_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;17115;184980
Puerto Montecristo_Red de enmalle - Red de enmalle fija continental_Hoplias malabaricus;600;9120
Puerto Montecristo_Red de enmalle - Red de enmalle fija continental_Pseudoplatystoma magdaleniatum;3220;39440
Puerto Abajo (Dibulla)_Red de enmalle - Red de enmalle fija marina_Elops smithi;7200;36000
Puerto Abajo (Dibulla)_Red de enmalle - Red de enmalle fija marina_Chloroscombrus chrysurus;9600;92600
Puerto Abajo (Dibulla)_Red de enmalle - Red de enmalle fija marina_Bagre filamentosus;6600;52800
Puerto Abajo (Dibulla)_Red de enmalle - Red de enmalle fija marina_Lutjanus synagris;14000;158700
Puerto Abajo (Dibulla)_Red de enmalle - Red de enmalle fija marina_Diapterus auratus;12000;122400
Champaché_Línea de mano - Línea de mano fija marina_Lutjanus purpureus;13700;105800
Puerto Montecristo_Red de enmalle - Red de enmalle fija continental_Cyphocharax magdalenae;5120;31000
Puerto Montecristo_Red de enmalle - Red de enmalle fija continental_Pimelodus yuma;12225;104670
Puerto Montecristo_Red de enmalle - Red de enmalle fija continental_Curimata mivartii;800;3600
Puerto Montecristo_Red de enmalle - Red de enmalle fija continental_Trichopodus pectoralis;1300;1300
El Ferry_Red de enmalle - Red de enmalle fija continental ciénaga_Prochilodus magdalenae;8320;111440
Champaché_Atarraya - Atarraya_Mugil incilis;17000;156000
Puerto Asure_Palangre o Espinel - Palangre calandrio_Sorubim cuspicaudus;11520;143200
Puerto Asure_Palangre o Espinel - Palangre calandrio_Pseudoplatystoma magdaleniatum;5900;189700
Puerto Abajo (Dibulla)_Red de enmalle - Red de enmalle fija marina_Haemulon plumieri;22950;217550
Puerto Abajo (Dibulla)_Red de enmalle - Red de enmalle fija marina_Calamus penna;10500;168500
Puerto Abajo (Dibulla)_Red de enmalle - Red de enmalle fija marina_Caranx crysos;14800;264000
Puerto Abajo (Dibulla)_Red de enmalle - Red de enmalle fija marina_Panulirus argus;29500;276000
Champaché_Atarraya - Atarraya_Centropomus undecimalis;18000;196950
Champaché_Atarraya - Atarraya_Gerres cinereus;16000;198600
Champaché_Atarraya - Atarraya_Ariopsis canteri;12000;40800
Champaché_Atarraya - Atarraya_Elops smithi;18000;171450
Puerto Abajo (Dibulla)_Red de enmalle - Red de enmalle fija marina_Centropomus undecimalis;44100;497000
Puerto Abajo (Dibulla)_Red de enmalle - Red de enmalle fija marina_Lobotes surinamensis;6000;72000
Puerto Abajo (Dibulla)_Red de enmalle - Red de enmalle fija marina_Centropomus pectinatus;12300;53100
Puerto Abajo (Dibulla)_Red de enmalle - Red de enmalle fija marina_Sciades proops;16000;132800
Puerto Abajo (Dibulla)_Red de enmalle - Red de enmalle fija marina_Anisotremus surinamensis;6700;18600
Puerto Asure_Atarraya - Atarraya_Megaleporinus muyscorum;28800;164500
Puerto Abajo (Dibulla)_Red de enmalle - Red de enmalle fija marina_Ariopsis canteri;8000;63800
El Ferry_Red de enmalle - Red de enmalle de deriva continental_Sorubim cuspicaudus;3540;33660
El Ferry_Red de enmalle - Red de enmalle de deriva continental_Pseudoplatystoma magdaleniatum;2600;2600
El Ferry_Red de enmalle - Red de enmalle de deriva continental_Megaleporinus muyscorum;1900;12400
El Ferry_Red de enmalle - Red de enmalle de deriva continental_Cynopotamus magdalenae;1170;11815
El Ferry_Red de enmalle - Red de enmalle de deriva continental_Curimata mivartii;3400;14070
Puerto Abajo (Dibulla)_Red de enmalle - Red de enmalle langostera_Panulirus laevicauda;12000;197000
El Ferry_Red de enmalle - Red de enmalle de deriva continental_Triportheus magdalenae;6800;178945
Las Tenazas_Línea de mano - Línea de mano fija marina_Sphyraena guachancho;8850;163050
El Ferry_Red de enmalle - Red de enmalle de deriva continental_Ageneiosus pardalis;1455;5135
Las Tenazas_Línea de mano - Línea de mano fija marina_Conodon nobilis;6000;40000
Clarinetero_Atarraya - Atarraya_Pseudoplatystoma orinocoense;23510;133810
Paujil_Red de enmalle - Red de enmalle fija continental_Pterodoras rivasi;55275;259375
Paujil_Red de enmalle - Red de enmalle fija continental_Mylossoma albiscopum;56870;681510
Paujil_Red de enmalle - Red de enmalle fija continental_Pellona castelnaeana;29760;68640
Clarinetero_Línea de mano - Línea de mano fija continental_Pseudoplatystoma orinocoense;68760;216080
Las Tenazas_Línea de mano - Línea de mano fija marina_Scomberomorus brasiliensis;14300;342150
Puerto del Cerrito_Red de enmalle - Red de enmalle fija continental ciénaga_Prochilodus magdalenae;6000;116000
Puerto del Cerrito_Red de enmalle - Red de enmalle fija continental ciénaga_Megaleporinus muyscorum;800;11550
El Ferry_Red de enmalle - Red de enmalle fija continental río_Prochilodus magdalenae;3100;48835
El Ferry_Red de enmalle - Red de enmalle fija continental río_Cyphocharax magdalenae;7165;146385
El Ferry_Red de enmalle - Red de enmalle fija continental río_Megaleporinus muyscorum;1390;50230
Puerto del Cerrito_Red de enmalle - Red de enmalle fija continental ciénaga_Curimata mivartii;1000;5460
Las Tenazas_Línea de mano - Línea de mano fija marina_Haemulon plumieri;2000;21000
Las Tenazas_Línea de mano - Línea de mano fija marina_Lutjanus synagris;6250;90750
El Ferry_Red de enmalle - Red de enmalle fija continental río_Caquetaia kraussii;440;4300
El Ferry_Red de enmalle - Red de enmalle fija continental río_Hoplias malabaricus;1390;18130
Puerto del Cerrito_Red de enmalle - Red de enmalle fija continental ciénaga_Pseudoplatystoma magdaleniatum;2450;25000
Locadía_Línea de mano - Línea de mano fija marina_Trichiurus lepturus;9000;63050
Locadía_Línea de mano - Línea de mano fija marina_Ariopsis canteri;12000;63000
Locadía_Línea de mano - Línea de mano fija marina_Lutjanus synagris;15000;91600
Locadía_Línea de mano - Línea de mano fija marina_Sciades proops;13000;64000
Codis_Línea de mano - Línea de mano fija marina_Centropomus undecimalis;45000;325000
Nueva Colonia_Red de enmalle - Red de enmalle fija marina_Centropomus undecimalis;60000;720000
Nueva Colonia_Red de enmalle - Red de enmalle fija marina_Oligoplites saliens;20000;3,00E+05
La Playa (El Banco)_Red de enmalle - Red de enmalle de deriva continental_Ageneiosus pardalis;7310;48590
La Playa (El Banco)_Red de enmalle - Red de enmalle de deriva continental_Sorubim cuspicaudus;9690;60955
La Playa (El Banco)_Red de enmalle - Red de enmalle de deriva continental_Pseudoplatystoma magdaleniatum;16190;101110
Nueva Colonia_Red de enmalle - Red de enmalle fija marina_Centropomus ensiferus;90000;539500
Nueva Colonia_Red de enmalle - Red de enmalle fija marina_Bairdiella ronchus;42000;375000
Nueva Colonia_Red de enmalle - Red de enmalle fija marina_Trichiurus lepturus;20000;260000
Nueva Colonia_Red de enmalle - Red de enmalle fija marina_Bagre filamentosus;20000;210000
Nueva Colonia_Red de enmalle - Red de enmalle fija marina_Callinectes bocourti;6450;93300
Tasajera La Playa_Red de enmalle - Red de enmalle fija marina_Sciades proops;12000;163400
Playa Pescadores - Capurganá_Línea de mano - Línea de mano fija marina_Lutjanus vivanus;140920;1257360
Puerto del Cerrito_Red de enmalle - Red de enmalle fija continental ciénaga_Plagioscion magdalenae;800;8000
Playa Pescadores - Capurganá_Línea de mano - Línea de mano fija marina_Lutjanus buccanella;122850;1677250
Playa Pescadores - Capurganá_Línea de mano - Línea de mano fija marina_Mycteroperca bonaci;61650;389250
Playa Pescadores - Capurganá_Línea de mano - Línea de mano fija marina_Seriola dumerili;60000;749200
Tasajera La Playa_Red de enmalle - Red de enmalle fija marina_Centropomus undecimalis;55000;444690
Tasajera La Playa_Red de enmalle - Red de enmalle fija marina_Lutjanus griseus;19320;89520
Tasajera La Playa_Red de enmalle - Red de enmalle fija marina_Anisotremus surinamensis;5000;50220
El Porvenir_Línea de mano - Línea de mano fija marina_Lutjanus synagris;12000;128050
El Porvenir_Línea de mano - Línea de mano fija marina_Sphyraena guachancho;7000;97200
Orpua_Red de enmalle - Red de enmalle camaronera_Polydactylus approximans;5000;92000
